Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.957498E-01,6.566362E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.794485E+02,1.179639E-01,1.346836E+03,1.238346E+03
00:20:00,1.964792E-01,6.586725E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.835127E+02,1.129542E-01,1.282924E+03,1.170584E+03
00:30:00,1.971968E-01,6.606759E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.875769E+02,1.080274E-01,1.220003E+03,1.103715E+03
00:40:00,1.979058E-01,6.626557E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.916411E+02,1.031727E-01,1.157943E+03,1.037880E+03
00:50:00,1.986083E-01,6.646171E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.957053E+02,9.839150E-02,1.096762E+03,9.731543E+02
01:00:00,1.993059E-01,6.665647E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.997695E+02,9.368671E-02,1.036492E+03,9.095396E+02
01:10:00,1.998318E-01,6.680331E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.024790E+02,8.945320E-02,9.832082E+02,8.533558E+02
01:20:00,2.002937E-01,6.693226E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.051885E+02,8.542698E-02,9.324001E+02,7.997235E+02
01:30:00,2.007149E-01,6.704987E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.078979E+02,8.156078E-02,8.835038E+02,7.481106E+02
01:40:00,2.011035E-01,6.715835E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.106074E+02,7.784189E-02,8.363670E+02,6.984048E+02
01:50:00,2.014655E-01,6.725944E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.133169E+02,7.425876E-02,7.908521E+02,6.504638E+02
02:00:00,2.018057E-01,6.735441E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.160264E+02,7.080257E-02,7.468535E+02,6.041600E+02
02:10:00,2.020821E-01,6.743160E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.180585E+02,6.755780E-02,7.060581E+02,5.612337E+02
02:20:00,2.023244E-01,6.749922E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.200906E+02,6.444717E-02,6.668650E+02,5.199480E+02
02:30:00,2.025413E-01,6.755979E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.221227E+02,6.145346E-02,6.290688E+02,4.801171E+02
02:40:00,2.027377E-01,6.761462E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.241548E+02,5.856913E-02,5.925791E+02,4.416674E+02
02:50:00,2.029171E-01,6.766470E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.261869E+02,5.578784E-02,5.573205E+02,4.045225E+02
