Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.797935E-01,6.120913E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.794485E+02,8.921701E-02,1.003414E+03,8.826127E+02
00:20:00,1.804864E-01,6.140256E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.835127E+02,8.481511E-02,9.467635E+02,8.221497E+02
00:30:00,1.811657E-01,6.159224E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.875769E+02,8.050369E-02,8.911938E+02,7.627342E+02
00:40:00,1.818351E-01,6.177912E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.916411E+02,7.627457E-02,8.366072E+02,7.044378E+02
00:50:00,1.824965E-01,6.196379E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.957053E+02,7.212695E-02,7.829942E+02,6.472887E+02
01:00:00,1.831518E-01,6.214675E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.997695E+02,6.805534E-02,7.302891E+02,5.911934E+02
01:10:00,1.836370E-01,6.228221E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.024790E+02,6.444115E-02,6.844033E+02,5.423670E+02
01:20:00,1.840585E-01,6.239991E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.051885E+02,6.102307E-02,6.408601E+02,4.959947E+02
01:30:00,1.844397E-01,6.250633E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.078979E+02,5.776083E-02,5.991786E+02,4.515991E+02
01:40:00,1.847887E-01,6.260377E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.106074E+02,5.464092E-02,5.591974E+02,4.090354E+02
01:50:00,1.851117E-01,6.269397E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.133169E+02,5.165245E-02,5.207864E+02,3.681655E+02
02:00:00,1.854122E-01,6.277786E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.160264E+02,4.878853E-02,4.838632E+02,3.288909E+02
02:10:00,1.856506E-01,6.284441E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.180585E+02,4.612679E-02,4.500328E+02,2.928825E+02
02:20:00,1.858566E-01,6.290192E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.200906E+02,4.359333E-02,4.177347E+02,2.584726E+02
02:30:00,1.860388E-01,6.295281E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.221227E+02,4.117237E-02,3.867806E+02,2.254762E+02
02:40:00,1.862020E-01,6.299837E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.241548E+02,3.885628E-02,3.570794E+02,1.938047E+02
02:50:00,1.863496E-01,6.303957E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.261869E+02,3.663916E-02,3.285604E+02,1.633833E+02
03:00:00,1.864856E-01,6.307755E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.282190E+02,3.451676E-02,3.011731E+02,1.341550E+02
03:10:00,1.866089E-01,6.311198E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.302511E+02,3.247534E-02,2.747531E+02,1.059392E+02
03:20:00,1.867225E-01,6.314367E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.322832E+02,3.051288E-02,2.492764E+02,7.870675E+01
03:30:00,1.868260E-01,6.317258E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.343153E+02,2.862750E-02,2.247204E+02,5.243590E+01
03:40:00,1.869209E-01,6.319908E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.363474E+02,2.732807E-02,2.071646E+02,3.367233E+01
03:50:00,1.870089E-01,6.322364E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.383795E+02,2.732807E-02,2.051325E+02,3.161222E+01
04:00:00,1.870911E-01,6.324658E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,2.732807E-02,2.031004E+02,2.955256E+01
04:10:00,1.870896E-01,6.324616E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.417663E+02,2.732807E-02,2.017456E+02,2.817929E+01
04:20:00,1.870598E-01,6.323784E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.431211E+02,2.732807E-02,2.003909E+02,2.680603E+01
04:30:00,1.870128E-01,6.322474E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,2.732807E-02,1.990362E+02,2.543234E+01
04:40:00,1.869515E-01,6.320762E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.458305E+02,2.732807E-02,1.976814E+02,2.405906E+01
04:50:00,1.868777E-01,6.318700E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.471853E+02,2.732807E-02,1.963267E+02,2.268583E+01
