Date/Time,Heating:Electricity [J](Hourly) 
 12/21  01:00:00,25921474.849250752 
 12/21  02:00:00,25921474.849250752 
 12/21  03:00:00,25921474.849250752 
 12/21  04:00:00,25921474.849250752 
 12/21  05:00:00,25921474.849250752 
 12/21  06:00:00,25921474.849250752 
 12/21  07:00:00,25921474.849250752 
 12/21  08:00:00,25921474.849250752 
 12/21  09:00:00,25921474.849250752 
 12/21  10:00:00,25921474.849250752 
 12/21  11:00:00,25921474.849250752 
 12/21  12:00:00,25921474.849250752 
 12/21  13:00:00,25921474.849250752 
 12/21  14:00:00,25921474.849250752 
 12/21  15:00:00,25921474.849250752 
 12/21  16:00:00,25921474.849250752 
 12/21  17:00:00,25921474.849250752 
 12/21  18:00:00,25921474.849250752 
 12/21  19:00:00,25921474.849250752 
 12/21  20:00:00,25921474.849250752 
 12/21  21:00:00,25921474.849250752 
 12/21  22:00:00,25921474.849250752 
 12/21  23:00:00,25921474.849250752 
 12/21  24:00:00,25921474.849250752 
 07/21  01:00:00,0.0 
 07/21  02:00:00,0.0 
 07/21  03:00:00,0.0 
 07/21  04:00:00,0.0 
 07/21  05:00:00,0.0 
 07/21  06:00:00,0.0 
 07/21  07:00:00,0.0 
 07/21  08:00:00,0.0 
 07/21  09:00:00,0.0 
 07/21  10:00:00,0.0 
 07/21  11:00:00,0.0 
 07/21  12:00:00,0.0 
 07/21  13:00:00,0.0 
 07/21  14:00:00,0.0 
 07/21  15:00:00,0.0 
 07/21  16:00:00,0.0 
 07/21  17:00:00,0.0 
 07/21  18:00:00,0.0 
 07/21  19:00:00,0.0 
 07/21  20:00:00,0.0 
 07/21  21:00:00,0.0 
 07/21  22:00:00,0.0 
 07/21  23:00:00,0.0 
 07/21  24:00:00,0.0 
 01/01  01:00:00,14785831.54939666 
 01/01  02:00:00,12369667.326522462 
 01/01  03:00:00,12707067.422282971 
 01/01  04:00:00,12230751.465714525 
 01/01  05:00:00,12151977.413048046 
 01/01  06:00:00,11506030.365436297 
 01/01  07:00:00,11148469.121967876 
 01/01  08:00:00,10470845.978052448 
 01/01  09:00:00,7045236.412499217 
 01/01  10:00:00,6483597.399220727 
 01/01  11:00:00,4376658.821490332 
 01/01  12:00:00,4904271.447362787 
 01/01  13:00:00,4690921.664798571 
 01/01  14:00:00,4579066.749517047 
 01/01  15:00:00,5690436.905652517 
 01/01  16:00:00,5905398.894642683 
 01/01  17:00:00,5892446.637768653 
 01/01  18:00:00,7283226.646853629 
 01/01  19:00:00,7861305.767730158 
 01/01  20:00:00,10684386.558877602 
 01/01  21:00:00,12650495.711120265 
 01/01  22:00:00,13301970.51284203 
 01/01  23:00:00,16142838.066134173 
 01/01  24:00:00,18577694.378732935 
 01/02  01:00:00,17414259.664150782 
 01/02  02:00:00,17745843.412618607 
 01/02  03:00:00,18748832.781075392 
 01/02  04:00:00,19976953.655382853 
 01/02  05:00:00,21967742.23177466 
 01/02  06:00:00,24491878.052070852 
 01/02  07:00:00,25709921.296891734 
 01/02  08:00:00,24517217.974383175 
 01/02  09:00:00,20586916.303602222 
 01/02  10:00:00,17396854.510627706 
 01/02  11:00:00,14151243.785420222 
 01/02  12:00:00,9753837.560846107 
 01/02  13:00:00,8622178.178163376 
 01/02  14:00:00,8853820.316215962 
 01/02  15:00:00,6938984.759161802 
 01/02  16:00:00,11982641.281456804 
 01/02  17:00:00,13185254.066240747 
 01/02  18:00:00,14070675.702690022 
 01/02  19:00:00,15310882.82047138 
 01/02  20:00:00,18555297.06857913 
 01/02  21:00:00,18928415.768252652 
 01/02  22:00:00,18325258.38186046 
 01/02  23:00:00,20385167.26088013 
 01/02  24:00:00,22188324.095639307 
