Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.662052E+03,9.986620E+02,1.998657E-01,8.237745E-02
00:20:00,5.682964E+03,9.360347E+02,2.006038E-01,7.721139E-02
00:30:00,5.703407E+03,8.752666E+02,2.013253E-01,7.219871E-02
00:40:00,5.723499E+03,8.162480E+02,2.020344E-01,6.733034E-02
00:50:00,5.743313E+03,7.588971E+02,2.027337E-01,6.259955E-02
01:00:00,5.762910E+03,7.031357E+02,2.034254E-01,5.799987E-02
01:10:00,5.777309E+03,6.537774E+02,2.039336E-01,5.392838E-02
01:20:00,5.789757E+03,6.074841E+02,2.043729E-01,5.010973E-02
01:30:00,5.800964E+03,5.636918E+02,2.047684E-01,4.649738E-02
01:40:00,5.811187E+03,5.222130E+02,2.051292E-01,4.307588E-02
01:50:00,5.820621E+03,4.828945E+02,2.054622E-01,3.983259E-02
02:00:00,5.829370E+03,4.456383E+02,2.057710E-01,3.675940E-02
02:10:00,5.836309E+03,4.113633E+02,2.060159E-01,3.393213E-02
02:20:00,5.842293E+03,3.791971E+02,2.062271E-01,3.127882E-02
02:30:00,5.847577E+03,3.490583E+02,2.064136E-01,2.879275E-02
02:40:00,5.852300E+03,3.208577E+02,2.065803E-01,2.646655E-02
02:50:00,5.856564E+03,2.943440E+02,2.067308E-01,2.427951E-02
03:00:00,5.860489E+03,2.693982E+02,2.068694E-01,2.222180E-02
03:10:00,5.864041E+03,2.457861E+02,2.069947E-01,2.027411E-02
03:20:00,5.867306E+03,2.233916E+02,2.071100E-01,1.842685E-02
03:30:00,5.870280E+03,2.020358E+02,2.072149E-01,1.666527E-02
03:40:00,5.873003E+03,1.817107E+02,2.073110E-01,1.498872E-02
03:50:00,5.875523E+03,1.626962E+02,2.074000E-01,1.342027E-02
04:00:00,5.877875E+03,1.450994E+02,2.074830E-01,1.196876E-02
04:10:00,5.877464E+03,1.309651E+02,2.074685E-01,1.080286E-02
04:20:00,5.876135E+03,1.181682E+02,2.074216E-01,9.747284E-03
04:30:00,5.874246E+03,1.062894E+02,2.073549E-01,8.767443E-03
04:40:00,5.871888E+03,9.469482E+01,2.072717E-01,7.811045E-03
04:50:00,5.869122E+03,8.295465E+01,2.071741E-01,6.842637E-03
05:00:00,5.866004E+03,7.506595E+01,2.070640E-01,6.191924E-03
05:10:00,5.857919E+03,7.918875E+01,2.067786E-01,6.531997E-03
05:20:00,5.847871E+03,9.738262E+01,2.064240E-01,8.032748E-03
05:30:00,5.836549E+03,1.335399E+02,2.060244E-01,1.101525E-02
05:40:00,5.824226E+03,1.919889E+02,2.055894E-01,1.583655E-02
05:50:00,5.811099E+03,2.710906E+02,2.051261E-01,2.236145E-02
06:00:00,5.797352E+03,3.682168E+02,2.046410E-01,3.037318E-02
06:10:00,5.785428E+03,4.781541E+02,2.042201E-01,3.944170E-02
06:20:00,5.773517E+03,5.975202E+02,2.037997E-01,4.928800E-02
06:30:00,5.761514E+03,7.213051E+02,2.033761E-01,5.949875E-02
06:40:00,5.749412E+03,8.479976E+02,2.029490E-01,6.994934E-02
06:50:00,5.737210E+03,9.766457E+02,2.025183E-01,8.056124E-02
07:00:00,5.724917E+03,1.103952E+03,2.020845E-01,9.106245E-02
07:10:00,5.720564E+03,1.222594E+03,2.019309E-01,1.008488E-01
07:20:00,5.717167E+03,1.338526E+03,2.018111E-01,1.104117E-01
07:30:00,5.714332E+03,1.451889E+03,2.017111E-01,1.197627E-01
07:40:00,5.711980E+03,1.559392E+03,2.016281E-01,1.286303E-01
07:50:00,5.710002E+03,1.662954E+03,2.015583E-01,1.371727E-01
08:00:00,5.708271E+03,1.763928E+03,2.014972E-01,1.455017E-01
08:10:00,5.729537E+03,1.840340E+03,2.022479E-01,1.518046E-01
08:20:00,5.754141E+03,1.911510E+03,2.031163E-01,1.576752E-01
08:30:00,5.780857E+03,1.979126E+03,2.040592E-01,1.632525E-01
08:40:00,5.809168E+03,2.043840E+03,2.050583E-01,1.685904E-01
08:50:00,5.838765E+03,2.106146E+03,2.061027E-01,1.737296E-01
09:00:00,5.869438E+03,2.166769E+03,2.071850E-01,1.787301E-01
09:10:00,5.884885E+03,2.239145E+03,2.077298E-01,1.846999E-01
09:20:00,5.899892E+03,2.308813E+03,2.082592E-01,1.904464E-01
09:30:00,5.914800E+03,2.374910E+03,2.087850E-01,1.958983E-01
09:40:00,5.929656E+03,2.436913E+03,2.093091E-01,2.010126E-01
09:50:00,5.944495E+03,2.494301E+03,2.098326E-01,2.057461E-01
10:00:00,5.959333E+03,2.545797E+03,2.103561E-01,2.099936E-01
10:10:00,5.963827E+03,2.601348E+03,2.105145E-01,2.145757E-01
10:20:00,5.967136E+03,2.652138E+03,2.106312E-01,2.187651E-01
10:30:00,5.969726E+03,2.697602E+03,2.107224E-01,2.225152E-01
10:40:00,5.971801E+03,2.737641E+03,2.107956E-01,2.258177E-01
