Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,1.875,14.778510793588278,15.70793924896931,-1.9952392207259841,0.0,21.5,0.0,4320000.0 
 01/01  02:00:00,0.5,13.914888843386755,14.997588703755827,-1.2957348966239937,0.0,21.5,0.0,4320000.0 
 01/01  03:00:00,-2.25,12.884019040097995,13.890345673029092,-1.9848779161200398,0.0,21.5,0.0,4320000.0 
 01/01  04:00:00,-2.375,12.08797010371975,13.26372267185278,-2.8001743619985353,0.0,21.5,0.0,4320000.0 
 01/01  05:00:00,-3.875,11.411579976463674,12.626924543959966,-3.6594585794034757,0.0,21.5,0.0,4320000.0 
 01/01  06:00:00,-3.75,10.63711922948057,12.463631139727536,-4.743881246969753,0.0,21.500000000000007,0.0,4320000.0 
 01/01  07:00:00,-3.625,10.001017677339286,13.100885428241554,-5.189747954707755,0.0,21.5,0.0,4320000.0 
 01/01  08:00:00,-4.0,9.375600729236371,12.96499299911223,-5.394864205922309,0.0,21.5,0.0,4320000.0 
 01/01  09:00:00,-0.25,9.137964310565,11.914278635866166,-3.4931827455592512,0.0,21.5,0.0,4320000.0 
 01/01  10:00:00,6.375,9.436372822457745,12.62661586198829,2.7586408172914725,0.0,21.5,0.0,4320000.0 
 01/01  11:00:00,5.875,10.03431022229461,13.651523084733766,8.660249234776886,0.0,21.5,0.0,4320000.0 
 01/01  12:00:00,4.0,10.754120623618466,14.484942381632386,11.502207335555322,0.0,21.5,0.0,4320000.0 
 01/01  13:00:00,4.0,11.940282105377765,15.331541332953577,13.130715060448544,0.0,21.5,0.0,4320000.0 
 01/01  14:00:00,5.25,13.138172299919098,15.941598860015443,13.66580674920061,0.0,21.5,0.0,4320000.0 
 01/01  15:00:00,5.875000000000001,13.976203551837267,16.744532604214022,13.235114558048828,0.0,21.5,0.0,4320000.0 
 01/01  16:00:00,5.3,14.298070665928638,17.183179247117323,12.142879080106965,0.0,21.5,0.0,4320000.0 
 01/01  17:00:00,3.75,14.23895228001606,16.880149628786132,9.768372304983064,0.0,21.5,0.0,4320000.0 
 01/01  18:00:00,0.5,13.154955229200466,15.725818085302741,5.532644760585331,0.0,21.5,0.0,4320000.0 
 01/01  19:00:00,-1.0,11.882955138067143,14.783291147435474,2.063906397967846,0.0,21.5,0.0,4320000.0 
 01/01  20:00:00,-1.0,10.992511245429075,14.229535171513843,-0.16644532584909758,0.0,21.5,0.0,4320000.0 
 01/01  21:00:00,-1.0,10.212539161286186,13.661421752254235,-1.705412893673135,0.0,21.5,0.0,4320000.0 
 01/01  22:00:00,-1.0,9.680029790064259,13.180926939974963,-2.5165134138880267,0.0,21.5,0.0,4320000.0 
 01/01  23:00:00,-0.375,9.301190172915163,12.7724012724218,-2.7289381300095297,0.0,21.5,0.0,4320000.0 
 01/01  24:00:00,0.0,9.034416091839365,12.472935093269811,-2.6830173817475798,0.0,21.5,0.0,4320000.0 
