Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 3:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 3:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 3:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 3:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 3:Des Tot Cool Cap [W]
00:10:00,1.693388E-01,5.945983E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.894279E+02,8.125960E-02,9.135350E+02,7.860667E+02,7.128176E-02,2.625513E+03,2.767795E-02,0.000000E+00,0.000000E+00
00:20:00,1.700126E-01,5.965284E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.935442E+02,7.694544E-02,8.573989E+02,7.260515E+02,7.208895E-02,2.634722E+03,2.767795E-02,0.000000E+00,0.000000E+00
00:30:00,1.706734E-01,5.984214E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.976604E+02,7.272299E-02,8.023686E+02,6.671245E+02,7.298221E-02,2.646394E+03,2.767795E-02,0.000000E+00,0.000000E+00
00:40:00,1.713246E-01,6.002867E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.017766E+02,6.858741E-02,7.483856E+02,6.093724E+02,7.394289E-02,2.659996E+03,2.767795E-02,0.000000E+00,0.000000E+00
00:50:00,1.719682E-01,6.021302E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.058929E+02,6.453331E-02,6.953850E+02,5.527591E+02,7.500316E-02,2.676451E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:00:00,1.726058E-01,6.039566E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.100091E+02,6.055886E-02,6.433448E+02,4.972322E+02,7.604112E-02,2.692266E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:10:00,1.730782E-01,6.053101E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.127533E+02,5.703404E-02,5.980983E+02,4.489455E+02,7.717473E-02,2.743269E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:20:00,1.734891E-01,6.064869E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.154974E+02,5.370944E-02,5.552659E+02,4.031969E+02,7.853890E-02,2.800883E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:30:00,1.738607E-01,6.075515E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.182416E+02,5.054313E-02,5.143422E+02,3.594775E+02,7.998972E-02,2.860979E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:40:00,1.742011E-01,6.085266E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.209857E+02,4.752217E-02,4.751710E+02,3.176412E+02,8.149076E-02,2.922513E+03,2.767795E-02,0.000000E+00,0.000000E+00
01:50:00,1.745163E-01,6.094295E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.237299E+02,4.463881E-02,4.376590E+02,2.775860E+02,8.302509E-02,2.985001E+03,2.767795E-02,0.000000E+00,0.000000E+00
02:00:00,1.748095E-01,6.102694E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.264741E+02,4.188705E-02,4.017338E+02,2.392245E+02,8.472579E-02,3.052254E+03,2.767795E-02,0.000000E+00,0.000000E+00
02:10:00,1.750423E-01,6.109364E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.285322E+02,3.934733E-02,3.690514E+02,2.042879E+02,8.635479E-02,3.108183E+03,2.767795E-02,0.000000E+00,0.000000E+00
