Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.921977E+03,9.943161E+02,1.693388E-01,8.125960E-02
00:20:00,4.941564E+03,9.415275E+02,1.700126E-01,7.694544E-02
00:30:00,4.960774E+03,8.898613E+02,1.706734E-01,7.272299E-02
00:40:00,4.979703E+03,8.392577E+02,1.713246E-01,6.858741E-02
00:50:00,4.998411E+03,7.896511E+02,1.719682E-01,6.453331E-02
01:00:00,5.016946E+03,7.410190E+02,1.726058E-01,6.055886E-02
01:10:00,5.030681E+03,6.978888E+02,1.730782E-01,5.703404E-02
01:20:00,5.042624E+03,6.572083E+02,1.734891E-01,5.370944E-02
01:30:00,5.053427E+03,6.184647E+02,1.738607E-01,5.054313E-02
01:40:00,5.063322E+03,5.814994E+02,1.742011E-01,4.752217E-02
01:50:00,5.072485E+03,5.462178E+02,1.745163E-01,4.463881E-02
02:00:00,5.081008E+03,5.125466E+02,1.748095E-01,4.188705E-02
02:10:00,5.087777E+03,4.814698E+02,1.750423E-01,3.934733E-02
02:20:00,5.093630E+03,4.522627E+02,1.752437E-01,3.696041E-02
02:30:00,5.098812E+03,4.245330E+02,1.754220E-01,3.469423E-02
02:40:00,5.103453E+03,3.981388E+02,1.755816E-01,3.253719E-02
02:50:00,5.107651E+03,3.729476E+02,1.757260E-01,3.047847E-02
03:00:00,5.111522E+03,3.488416E+02,1.758592E-01,2.850844E-02
03:10:00,5.115031E+03,3.255535E+02,1.759799E-01,2.660526E-02
03:20:00,5.118263E+03,3.028206E+02,1.760911E-01,2.474744E-02
03:30:00,5.121275E+03,2.807679E+02,1.761947E-01,2.294521E-02
03:40:00,5.124036E+03,2.593832E+02,1.762897E-01,2.119758E-02
03:50:00,5.126582E+03,2.386686E+02,1.763773E-01,1.950471E-02
04:00:00,5.128955E+03,2.186274E+02,1.764589E-01,1.786688E-02
04:10:00,5.128957E+03,2.013305E+02,1.764590E-01,1.645332E-02
04:20:00,5.128157E+03,1.852804E+02,1.764315E-01,1.514165E-02
04:30:00,5.126806E+03,1.703550E+02,1.763850E-01,1.392190E-02
04:40:00,5.125049E+03,1.565417E+02,1.763246E-01,1.279303E-02
04:50:00,5.122951E+03,1.438628E+02,1.762524E-01,1.175687E-02
05:00:00,5.120550E+03,1.379400E+02,1.761698E-01,1.127284E-02
05:10:00,5.113551E+03,1.462055E+02,1.759290E-01,1.194832E-02
05:20:00,5.104756E+03,1.699025E+02,1.756265E-01,1.388492E-02
05:30:00,5.094792E+03,2.139821E+02,1.752837E-01,1.748726E-02
05:40:00,5.083902E+03,2.808100E+02,1.749091E-01,2.294867E-02
05:50:00,5.072304E+03,3.699742E+02,1.745101E-01,3.023553E-02
06:00:00,5.060122E+03,4.755839E+02,1.740910E-01,3.886639E-02
06:10:00,5.049286E+03,5.928892E+02,1.737183E-01,4.845312E-02
06:20:00,5.038326E+03,7.183717E+02,1.733413E-01,5.870811E-02
06:30:00,5.027191E+03,8.457603E+02,1.729582E-01,6.911882E-02
06:40:00,5.015893E+03,9.747093E+02,1.725696E-01,7.965704E-02
06:50:00,5.004402E+03,1.102537E+03,1.721743E-01,9.010360E-02
07:00:00,4.992785E+03,1.227523E+03,1.717747E-01,1.003180E-01
07:10:00,4.988939E+03,1.342624E+03,1.716425E-01,1.097244E-01
