Title,Column 1 Category,End use category and fuel,Total Heating TBTU/yr,Elec TBTU/yr,Fossil TBTU/yr,In.Hvac Heating Type And Fuel,Building Id,End use category,End use fuel type,In.Bedrooms,In.Geometry Attic Type,In.Geometry Building Type Acs,In.Geometry Building Type Height,In.Geometry Building Type Recs,In.Geometry Floor Area,In.Geometry Floor Area Bin,In.Geometry Foundation Type,In.Geometry Stories,In.Geometry Wall Exterior Finish,In.Geometry Wall Type,In.Geometry Wall Type And Exterior Finish,In.Heating Fuel,In.Hvac Cooling Efficiency,In.Hvac Cooling Type,In.Hvac Has Ducts,In.Hvac Has Shared System,In.Hvac Has Zonal Electric Heating,In.Hvac Heating Efficiency,In.Hvac Heating Type,In.Infiltration,In.Insulation Ceiling,In.Insulation Floor,In.Insulation Foundation Wall,In.Insulation Roof,In.Insulation Slab,In.Insulation Wall,In.Lighting,In.Misc Extra Refrigerator,In.Misc Freezer,In.Misc Gas Fireplace,In.Misc Gas Grill,In.Misc Gas Lighting,In.Misc Hot Tub Spa,In.Misc Pool,In.Misc Pool Heater,In.Misc Pool Pump,In.Misc Well Pump,In.Occupants,In.Resstock County Id,In.State,In.Vacancy Status,In.Vintage,In.Vintage Acs,In.Water Heater Efficiency,In.Water Heater Fuel,In.Water Heater In Unit,In.Windows,Tenure type,Number of units,Out.Floor Area Conditioned Ft 2,Clothes Dryer (group),Cooking Range (group),In.Bathroom Spot Vent Hour,In.Cec Climate Zone,In.Ceiling Fan,In.Clothes Dryer,In.Clothes Washer,In.Clothes Washer Presence,In.Cooking Range,In.Cooling Setpoint,In.Cooling Setpoint Has Offset,In.Cooling Setpoint Offset Magnitude,In.Cooling Setpoint Offset Period,In.Corridor,In.Dehumidifier,In.Dishwasher,In.Door Area,In.Doors,In.Ducts,In.Eaves,In.Electric Vehicle,In.Geometry Building Horizontal Location Mf,In.Geometry Building Horizontal Location Sfa,In.Geometry Building Level Mf,In.Geometry Building Number Units Mf,In.Geometry Building Number Units Sfa,In.Geometry Building Type Recs (group),In.Geometry Garage,In.Geometry Stories Low Rise,In.Heating Setpoint,In.Heating Setpoint Has Offset,In.Heating Setpoint Offset Magnitude,In.Heating Setpoint Offset Period,In.Holiday Lighting,In.Hot Water Distribution,In.Hot Water Fixtures,In.Hvac Heating System Type,In.Hvac Secondary Heating Efficiency,In.Hvac Secondary Heating Type And Fuel,In.Hvac Shared Efficiencies,In.Hvac System Is Faulted,In.Hvac System Single Speed Ac Airflow,In.Hvac System Single Speed Ac Charge,In.Hvac System Single Speed Ashp Airflow,In.Hvac System Single Speed Ashp Charge,In.Interior Shading,In.Iso Rto Region,In.Lighting Interior Use,In.Lighting Other Use,In.Location City,In.Location Latitude,In.Location Longitude,In.Location Region,In.Mechanical Ventilation,In.Natural Ventilation,In.Neighbors,In.Orientation,In.Overhangs,In.Plug Load Diversity,In.Plug Loads,In.Pv,In.Radiant Barrier,In.Range Spot Vent Hour,In.Reeds Balancing Area,In.Refrigerator,In.Resstock Puma Id,In.Roof Material,In.Schedules,In.Solar Hot Water,In.Units Represented,In.Usage Level,In.Window Areas,Out.Door Area Ft 2,Out.Duct Unconditioned Surface Area Ft 2,Out.Floor Area Attic Ft 2,Out.Floor Area Lighting Ft 2,Out.Hours Cooling Setpoint Not Met,Out.Hours Heating Setpoint Not Met,Out.Hvac Cooling Capacity W,Out.Hvac Heating Capacity W,Out.Hvac Heating Supp Capacity W,Out.Roof Area Ft 2,Out.Size Cooling System Kbtu H,,Out.Size Water Heater Gal,Out.Size Water Heater Gal (group),Out.Wall Area Above Grade Conditioned Ft 2,Out.Wall Area Above Grade Exterior Ft 2,Out.Wall Area Below Grade Ft 2,Out.Window Area Ft 2,Scaled Units
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.000198384,0.000198384,0,Electricity Baseboard,1518,heating,fossil,1,None,20 to 49 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Vented Crawlspace,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,Yes,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,25 ACH50,None,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, R-7",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1970s,1960-79,Electric Standard,Electricity,Shared DHW,"Single, Clear, Metal, Exterior Clear Storm",owner_occupied,44.2420689,617,Electric,Electric,Hour0,None,None,"Electric, 80% Usage","Standard, 80% Usage",Yes,"Electric, 80% Usage",72F,Yes,9F,Night Setup +1h,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,None,2 ft,None,Middle,None,Bottom,24,None,Multi-Family & Single-Family Attached,None,2,60F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Electric Baseboard & Wall Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",4,East,None,0.5,1.05,None,None,Hour11,33,"EF 15.9, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Low,F9 B9 L9 R9,20,0,0,617,2630.67,0,0,2588.321798,0,0,0,8.83,20,20-30,148.11,148.11,74.06,13.33,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.000887346,0.000887346,0,Electricity Baseboard,1518,heating,fossil,1,None,20 to 49 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Vented Crawlspace,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,Yes,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,25 ACH50,None,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, R-7",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1970s,1960-79,Electric Standard,Electricity,Shared DHW,"Single, Clear, Metal, Exterior Clear Storm",renter_occupied,197.8889438,617,Electric,Electric,Hour0,None,None,"Electric, 80% Usage","Standard, 80% Usage",Yes,"Electric, 80% Usage",72F,Yes,9F,Night Setup +1h,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,None,2 ft,None,Middle,None,Bottom,24,None,Multi-Family & Single-Family Attached,None,2,60F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Electric Baseboard & Wall Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",4,East,None,0.5,1.05,None,None,Hour11,33,"EF 15.9, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Low,F9 B9 L9 R9,20,0,0,617,2630.67,0,0,2588.321798,0,0,0,8.83,20,20-30,148.11,148.11,74.06,13.33,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.01920865,0.01920865,0,Electricity Electric Boiler,2068,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,Vented Crawlspace,3,"Brick, Medium/Dark",Wood Frame,"Wood Frame, Brick, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,No,"Electric Boiler, 100% AFUE",Non-Ducted Heating,25 ACH50,R-30,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% CFL,None,"EF 12, National Average",None,None,None,None,None,None,None,None,2,"CO, Denver County",CO,Occupied,1960s,1960-79,Electric Standard,Electricity,WH in unit,"Double, Clear, Non-metal, Air",renter_occupied,33.98873076,1690,Electric,Electric,Hour5,None,None,"Electric, 120% Usage","EnergyStar, 120% Usage",Yes,"Electric, 120% Usage",80F,Yes,2F,Day Setup and Night Setback +2h,Not Applicable,None,"290 Rated kWh, 120% Usage",20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,1 Car,3,68F,Yes,12F,Night,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Boiler,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Northeast,None,2,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00815",Composition Shingles,Stochastic,None,1,High,F6 B6 L6 R6,20,0,659.33,1978,1336.17,36.33,0,24624.95247,0,737.16,0,84.02,50,40-50,2658.09,2939.66,283.01,147.97,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.003136689,0.003136689,0,Electricity Electric Boiler,2068,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,Vented Crawlspace,3,"Brick, Medium/Dark",Wood Frame,"Wood Frame, Brick, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,No,"Electric Boiler, 100% AFUE",Non-Ducted Heating,25 ACH50,R-30,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% CFL,None,"EF 12, National Average",None,None,None,None,None,None,None,None,2,"CO, Denver County",CO,Occupied,1960s,1960-79,Electric Standard,Electricity,WH in unit,"Double, Clear, Non-metal, Air",owner_occupied,208.142282,1690,Electric,Electric,Hour5,None,None,"Electric, 120% Usage","EnergyStar, 120% Usage",Yes,"Electric, 120% Usage",80F,Yes,2F,Day Setup and Night Setback +2h,Not Applicable,None,"290 Rated kWh, 120% Usage",20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,1 Car,3,68F,Yes,12F,Night,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Boiler,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Northeast,None,2,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00815",Composition Shingles,Stochastic,None,1,High,F6 B6 L6 R6,20,0,659.33,1978,1336.17,36.33,0,24624.95247,0,737.16,0,84.02,50,40-50,2658.09,2939.66,283.01,147.97,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.000825322,2.58E-06,0.000822742,Natural Gas Shared Heating,2422,heating,fossil,2,None,20 to 49 Unit,"Multifamily with 5+ units, 4-7 stories",Multi-Family with 5+ Units,0-499,0-1499,Unheated Basement,5,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,None,No AC,Has ducts,Heating Shared,No,Shared Heating,Ducted Heating,40 ACH50,None,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, Uninsulated",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Shared DHW,"Single, Clear, Non-metal",owner_occupied,44.2420689,333,Electric,Electric,Hour3,None,"Standard Efficiency, No usage","Electric, 100% Usage","EnergyStar, 100% Usage",Yes,"Electric, 100% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"30% Leakage, Uninsulated",2 ft,None,Right,None,Bottom,43,None,Multi-Family & Single-Family Attached,None,,55F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Shared Heating,None,None,"Boiler Baseboards Heating Only, Natural Gas",No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",7,West,None,1,1.05,None,None,Hour15,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Medium,F30 B30 L30 R30,20,0,0,333,2230.5,0,0,0,0,0,0,0,30,20-30,304.67,344.67,344.67,91.4,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.003680595,5.77E-07,0.003680018,Natural Gas Shared Heating,2422,heating,fossil,2,None,20 to 49 Unit,"Multifamily with 5+ units, 4-7 stories",Multi-Family with 5+ Units,0-499,0-1499,Unheated Basement,5,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,None,No AC,Has ducts,Heating Shared,No,Shared Heating,Ducted Heating,40 ACH50,None,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, Uninsulated",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Shared DHW,"Single, Clear, Non-metal",renter_occupied,197.8889438,333,Electric,Electric,Hour3,None,"Standard Efficiency, No usage","Electric, 100% Usage","EnergyStar, 100% Usage",Yes,"Electric, 100% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"30% Leakage, Uninsulated",2 ft,None,Right,None,Bottom,43,None,Multi-Family & Single-Family Attached,None,,55F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Shared Heating,None,None,"Boiler Baseboards Heating Only, Natural Gas",No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",7,West,None,1,1.05,None,None,Hour15,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Medium,F30 B30 L30 R30,20,0,0,333,2230.5,0,0,0,0,0,0,0,30,20-30,304.67,344.67,344.67,91.4,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.033893843,0,0.033893843,Natural Gas Fuel Wall/Floor Furnace,2578,heating,fossil,4,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,Vented Crawlspace,2,"Vinyl, Light",Wood Frame,"Wood Frame, Vinyl, Light",Natural Gas,"Room AC, EER 10.7",Room AC,No ducts,In-unit HVAC,No,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,10 ACH50,R-7,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% CFL,None,None,None,None,None,None,None,None,None,None,2,"CO, Denver County",CO,Occupied,<1940,<1940,Natural Gas Premium,Natural Gas,WH in unit,"Single, Clear, Non-metal",owner_occupied,200.1439129,2176,Electric,Electric,Hour17,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",65F,Yes,5F,Night Setup -3h,Not Applicable,None,None,20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,2,70F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Wall/Floor Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,East,None,0.5,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00814",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,0,1088,2176,247.17,1.17,7239.073538,21410.8837,0,1216.42,24.7,73.06,40,40-50,2202.86,2353.97,550.71,198.26,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.007110404,0,0.007110404,Natural Gas Fuel Wall/Floor Furnace,2578,heating,fossil,4,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,Vented Crawlspace,2,"Vinyl, Light",Wood Frame,"Wood Frame, Vinyl, Light",Natural Gas,"Room AC, EER 10.7",Room AC,No ducts,In-unit HVAC,No,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,10 ACH50,R-7,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% CFL,None,None,None,None,None,None,None,None,None,None,2,"CO, Denver County",CO,Occupied,<1940,<1940,Natural Gas Premium,Natural Gas,WH in unit,"Single, Clear, Non-metal",renter_occupied,41.98709982,2176,Electric,Electric,Hour17,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",65F,Yes,5F,Night Setup -3h,Not Applicable,None,None,20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,2,70F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Wall/Floor Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,East,None,0.5,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00814",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,0,1088,2176,247.17,1.17,7239.073538,21410.8837,0,1216.42,24.7,73.06,40,40-50,2202.86,2353.97,550.71,198.26,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.004162415,0.00016524,0.003997175,Natural Gas Fuel Furnace,2876,heating,fossil,2,None,5 to 9 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,1500-1999,1500-2499,Unvented Crawlspace,3,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,25 ACH50,None,Uninsulated,Uninsulated,"Finished, R-38",None,"Wood Stud, R-11",100% LED,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1980s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Metal",owner_occupied,92.39489655,1623,None,Electric,Hour21,None,Standard Efficiency,None,None,None,"Electric, 120% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,Left,None,Top,6,None,Multi-Family & Single-Family Attached,None,3,65F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,Southwest,None,2,1.05,None,None,Hour14,33,"EF 17.6, 100% Usage","CO, 00815","Asphalt Shingles, Medium",Stochastic,None,1,High,F9 B9 L9 R9,20,0,0,1623,113,0,3915.484625,11586.12795,0,1623,13.36,39.53,30,20-30,912.84,912.84,0,82.16,5
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.006745651,0.000267789,0.006477862,Natural Gas Fuel Furnace,2876,heating,fossil,2,None,5 to 9 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,1500-1999,1500-2499,Unvented Crawlspace,3,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,25 ACH50,None,Uninsulated,Uninsulated,"Finished, R-38",None,"Wood Stud, R-11",100% LED,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1980s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Metal",renter_occupied,149.7361162,1623,None,Electric,Hour21,None,Standard Efficiency,None,None,None,"Electric, 120% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,Left,None,Top,6,None,Multi-Family & Single-Family Attached,None,3,65F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,Southwest,None,2,1.05,None,None,Hour14,33,"EF 17.6, 100% Usage","CO, 00815","Asphalt Shingles, Medium",Stochastic,None,1,High,F9 B9 L9 R9,20,0,0,1623,113,0,3915.484625,11586.12795,0,1623,13.36,39.53,30,20-30,912.84,912.84,0,82.16,7
