End use fuel type,In.Vintage,In.Vintage Acs,Bedrooms,In.Orientation,In.Geometry Attic Type,In.Geometry Building Type Acs,In.Geometry Building Type Height,In.Geometry Building Number Units Mf,In.Geometry Floor Area,In.Geometry Foundation Type,In.Geometry Stories,Tenure type,Out.Floor Area Conditioned Ft 2,In.Hvac Heating Efficiency,In.Hvac Heating Type And Fuel,In.Occupants,In.Vacancy Status,In.Neighbors,In.Windows,Site energy (TBtu/yr),Clothes Dryer (group),In.Cooling Setpoint,In.Cooling Setpoint Has Offset,In.Cooling Setpoint Offset Magnitude,In.Cooling Setpoint Offset Period,In.Corridor,In.Dehumidifier,In.Dishwasher,In.Door Area,In.Doors,In.Ducts,In.Eaves,In.Electric Vehicle,In.Geometry Building Horizontal Location Mf,In.Geometry Building Horizontal Location Sfa,In.Geometry Building Level Mf,In.Geometry Building Number Units Sfa,In.Geometry Garage,In.Heating Setpoint,In.Heating Setpoint Has Offset,In.Heating Setpoint Offset Magnitude,In.Heating Setpoint Offset Period,In.Holiday Lighting,In.Hot Water Distribution,In.Hot Water Fixtures,In.Hvac Heating System Type,In.Interior Shading,In.Iso Rto Region,In.Lighting Interior Use,In.Lighting Other Use,In.Location Latitude,In.Location Longitude,In.Mechanical Ventilation,In.Natural Ventilation,In.Overhangs,In.Plug Load Diversity,In.Plug Loads,In.Pv,In.Refrigerator,In.Units Represented
electric,2020s,2010-2020,3 Rooms,South,None,Single-Family Detached,Single-Family Detached,None,3500-4000,Slab,2,owner_occupied,2368.06,Electric Heat Pump,Electricity,3,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,1970s,1960-79,2 Rooms,East,Vented Attic,Single-Family Attached,Single-Family Attached,None,2000-2499,Vented Crawlspace,2,owner_occupied,2368.06,"Electric Furnace, 100% Efficiency",Electricity,4,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil,1980s,1980-99,1 Rooms,West,None,Multi-Family with 5+ Units,10 to 19 Unit,16,1000-1499,Slab,2,owner_occupied,1220,"Fuel Furnace, 80% AFUE",Natural Gas,1,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,1980s,1980-99,2 Rooms,West,None,50 or more Unit,"Multifamily with 5+ units, 1-3 stories",67,1500-1999,Unvented Crawlspace,3,owner_occupied,1137.96,"Electric Baseboard, 100% Efficiency",Electricity,2,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,2020s,2010-2020,2 Rooms,North,None,Multi-Family with 5+ Units,10 to 19 Unit,18,1500-1999,Slab,3,owner_occupied,1200.39,"Electric Resistance, 100% Efficiency",Electricity,2,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,1960s,1960-79,3 Rooms,Northeast,Vented Attic,Single-Family Detached,Single-Family Detached,None,1500-1999,Vented Crawlspace,3,owner_occupied,1690,"Electric Boiler, 100% AFUE",Electricity Electric Boiler,2,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0.01920865,Electric,80F,Yes,2F,Day Setup and Night Setback +2h,Not Applicable,None,"290 Rated kWh, 120% Usage",20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,1 Car,68F,Yes,12F,Night,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Boiler,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.91,None,"EF 17.6, 100% Usage",1
electric,1980s,1980-99,2 Rooms,Southwest,None,5 to 9 Unit,"Multifamily with 5+ units, 1-3 stories",6,1500-1999,Unvented Crawlspace,3,owner_occupied,1623,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,1,Occupied,27,"Single, Clear, Metal",0.00016524,None,72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,Left,None,Top,None,None,65F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,1.05,None,"EF 17.6, 100% Usage",1
electric,2000s,2000-09,4 Rooms,West,Vented Attic,Single-Family Detached,Single-Family Detached,None,2500-2999,Ambient,2,owner_occupied,2663,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,2,Vacant,Left/Right at 15ft,"Double, Low-E, Non-metal, Air, M-Gain",0.000225956,Electric,78F,Yes,9F,Night Setup +2h,Not Applicable,None,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"30% Leakage, R-8",2 ft,None,None,None,None,None,None,55F,Yes,6F,Night -3h,No Exterior Use,"Uninsulated, HomeRun, PEX",100% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.91,None,"EF 15.9, 100% Usage",1
electric,1940s,1940-59,3 Rooms,North,Vented Attic,Single-Family Detached,Single-Family Detached,None,1000-1499,Unheated Basement,1,owner_occupied,1220,"Electric Baseboard, 100% Efficiency",Electricity Baseboard,1,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0.004855736,Electric,76F,No,0F,None,Not Applicable,None,"290 Rated kWh, 80% Usage",20 ft^2,Fiberglass,None,2 ft,None,None,None,None,None,None,62F,Yes,12F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Electric Baseboard & Wall Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,0.5,0.91,None,"EF 17.6, 100% Usage",1
electric,<1940,<1940,3 Rooms,North,Vented Attic,Single-Family Detached,Single-Family Detached,None,1500-1999,Unheated Basement,1,owner_occupied,1690,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,2,Occupied,Left/Right at 15ft,"Double, Clear, Metal, Air",0.000315444,Electric,70F,Yes,5F,Night Setup -4h,Not Applicable,None,None,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,None,None,None,None,None,68F,Yes,12F,Night +5h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.91,None,"EF 15.9, 100% Usage",1
electric,1970s,1960-79,1 Rooms,South,None,3 or 4 Unit,Multifamily with 2-4 Units,3,750-999,Slab,3,owner_occupied,853,Shared Heating,Natural Gas Shared Heating,1,Vacant,12,"Single, Clear, Metal",8.75E-07,Electric,68F,No,0F,None,Double-Loaded Interior,None,"318 Rated kWh, 100% Usage",20 ft^2,Fiberglass,None,2 ft,None,Not Applicable,None,Bottom,None,None,55F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Shared Heating,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.96,None,"EF 10.5, 100% Usage",1
electric,2020s,2010-2020,3 Rooms,South,None,Single-Family Detached,Single-Family Detached,,4000+,Unvented Crawlspace,2,owner_occupied,2368.06,Electric Heat Pump,,3,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
