End use fuel type,In.Vintage,Bedrooms,Floor Area,Stories,Occupancy,In.Orientation,In.Geometry Attic Type,In.Geometry Building Type Acs,In.Geometry Building Type Height,In.Geometry Building Number Units Mf,In.Geometry Floor Area,In.Geometry Foundation Type,Tenure type,In.Hvac Heating Efficiency,In.Hvac Heating Type And Fuel,In.Vacancy Status,In.Neighbors,In.Windows,Site energy (TBtu/yr),Clothes Dryer (group),In.Cooling Setpoint,In.Cooling Setpoint Has Offset,In.Cooling Setpoint Offset Magnitude,In.Door Area,In.Doors,In.Ducts,In.Eaves,In.Heating Setpoint,In.Heating Setpoint Has Offset,In.Heating Setpoint Offset Magnitude,In.Heating Setpoint Offset Period,In.Holiday Lighting,In.Hot Water Distribution,In.Hot Water Fixtures,In.Hvac Heating System Type,In.Interior Shading,In.Iso Rto Region,In.Lighting Interior Use,In.Lighting Other Use,In.Location Latitude,In.Location Longitude,In.Mechanical Ventilation,In.Natural Ventilation,In.Overhangs,In.Plug Load Diversity,In.Plug Loads,In.Pv,In.Refrigerator,In.Units Represented
electric,0.829568789,0.882352941,0.989249341,0.913242009,0.946791605,South,None,Single-Family Detached,Single-Family Detached,None,3500-4000,Slab,owner_occupied,Electric Heat Pump,Electricity,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,0.809034908,0.588235294,0.989249341,0.913242009,1.262388806,East,Vented Attic,Single-Family Attached,Single-Family Attached,None,2000-2499,Vented Crawlspace,owner_occupied,"Electric Furnace, 100% Efficiency",Electricity,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil,0.813141684,0.294117647,0.509651021,0.913242009,0.315597202,West,None,Multi-Family with 5+ Units,10 to 19 Unit,16,1000-1499,Slab,owner_occupied,"Fuel Furnace, 80% AFUE",Natural Gas,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,0.813141684,0.588235294,0.475379078,1.369863014,0.631194403,West,None,50 or more Unit,"Multifamily with 5+ units, 1-3 stories",67,1500-1999,Unvented Crawlspace,owner_occupied,"Electric Baseboard, 100% Efficiency",Electricity,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,0.829568789,0.588235294,0.501459007,1.369863014,0.631194403,North,None,Multi-Family with 5+ Units,10 to 19 Unit,18,1500-1999,Slab,owner_occupied,"Electric Resistance, 100% Efficiency",Electricity,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,0.804928131,0.882352941,0.705991988,1.369863014,0.631194403,Northeast,Vented Attic,Single-Family Detached,Single-Family Detached,None,1500-1999,Vented Crawlspace,owner_occupied,"Electric Boiler, 100% AFUE",Electricity Electric Boiler,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0.01920865,Electric,80F,Yes,2F,20 ft^2,Fiberglass,None,2 ft,68F,Yes,12F,Night,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Boiler,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.91,None,"EF 17.6, 100% Usage",1
electric,0.813141684,0.588235294,0.678002956,1.369863014,0.315597202,Southwest,None,5 to 9 Unit,"Multifamily with 5+ units, 1-3 stories",6,1500-1999,Unvented Crawlspace,owner_occupied,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,Occupied,27,"Single, Clear, Metal",0.00016524,None,72F,No,0F,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,65F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,1.05,None,"EF 17.6, 100% Usage",1
electric,0.821355236,1.176470588,1.112459564,0.913242009,0.631194403,West,Vented Attic,Single-Family Detached,Single-Family Detached,None,2500-2999,Ambient,owner_occupied,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,Vacant,Left/Right at 15ft,"Double, Low-E, Non-metal, Air, M-Gain",0.000225956,Electric,78F,Yes,9F,20 ft^2,Fiberglass,"30% Leakage, R-8",2 ft,55F,Yes,6F,Night -3h,No Exterior Use,"Uninsulated, HomeRun, PEX",100% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.91,None,"EF 15.9, 100% Usage",1
electric,0.796714579,0.882352941,0.509651021,0.456621005,0.315597202,North,Vented Attic,Single-Family Detached,Single-Family Detached,None,1000-1499,Unheated Basement,owner_occupied,"Electric Baseboard, 100% Efficiency",Electricity Baseboard,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0.004855736,Electric,76F,No,0F,20 ft^2,Fiberglass,None,2 ft,62F,Yes,12F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Electric Baseboard & Wall Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,0.5,0.91,None,"EF 17.6, 100% Usage",1
electric,0.792607803,0.882352941,0.705991988,0.456621005,0.631194403,North,Vented Attic,Single-Family Detached,Single-Family Detached,None,1500-1999,Unheated Basement,owner_occupied,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,Occupied,Left/Right at 15ft,"Double, Clear, Metal, Air",0.000315444,Electric,70F,Yes,5F,20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,68F,Yes,12F,Night +5h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.91,None,"EF 15.9, 100% Usage",1
