Date/Time,Heating:Electricity [J](Hourly) 
 12/21  01:00:00,23887711.93413166 
 12/21  02:00:00,23887711.93413166 
 12/21  03:00:00,23887711.93413166 
 12/21  04:00:00,23887711.93413166 
 12/21  05:00:00,23887711.93413166 
 12/21  06:00:00,23887711.93413166 
 12/21  07:00:00,23887711.93413166 
 12/21  08:00:00,23887711.93413166 
 12/21  09:00:00,23887711.93413166 
 12/21  10:00:00,23887711.93413166 
 12/21  11:00:00,23887711.93413166 
 12/21  12:00:00,23887711.93413166 
 12/21  13:00:00,23887711.93413166 
 12/21  14:00:00,23887711.93413166 
 12/21  15:00:00,23887711.93413166 
 12/21  16:00:00,23887711.93413166 
 12/21  17:00:00,23887711.93413166 
 12/21  18:00:00,23887711.93413166 
 12/21  19:00:00,23887711.93413166 
 12/21  20:00:00,23887711.93413166 
 12/21  21:00:00,23887711.93413166 
 12/21  22:00:00,23887711.93413166 
 12/21  23:00:00,23887711.93413166 
 12/21  24:00:00,23887711.93413166 
 07/21  01:00:00,0.0 
 07/21  02:00:00,0.0 
 07/21  03:00:00,0.0 
 07/21  04:00:00,0.0 
 07/21  05:00:00,0.0 
 07/21  06:00:00,0.0 
 07/21  07:00:00,0.0 
 07/21  08:00:00,0.0 
 07/21  09:00:00,0.0 
 07/21  10:00:00,0.0 
 07/21  11:00:00,0.0 
 07/21  12:00:00,0.0 
 07/21  13:00:00,0.0 
 07/21  14:00:00,0.0 
 07/21  15:00:00,0.0 
 07/21  16:00:00,0.0 
 07/21  17:00:00,0.0 
 07/21  18:00:00,0.0 
 07/21  19:00:00,0.0 
 07/21  20:00:00,0.0 
 07/21  21:00:00,0.0 
 07/21  22:00:00,0.0 
 07/21  23:00:00,0.0 
 07/21  24:00:00,0.0 
 01/01  01:00:00,13533102.174381321 
 01/01  02:00:00,11180212.249250047 
 01/01  03:00:00,11543475.825858328 
 01/01  04:00:00,11147820.727318164 
 01/01  05:00:00,11160680.07369996 
 01/01  06:00:00,10599135.576944513 
 01/01  07:00:00,12026730.58148155 
 01/01  08:00:00,13005783.692856044 
 01/01  09:00:00,8119838.0361652495 
 01/01  10:00:00,5929644.610975344 
 01/01  11:00:00,5470705.384920148 
 01/01  12:00:00,5956413.3096243 
 01/01  13:00:00,4515766.882617792 
 01/01  14:00:00,4468030.303067388 
 01/01  15:00:00,7981998.353363035 
 01/01  16:00:00,7122324.591243745 
 01/01  17:00:00,5648532.631027796 
 01/01  18:00:00,7733118.970114825 
 01/01  19:00:00,10921605.116463872 
 01/01  20:00:00,11989179.880913118 
 01/01  21:00:00,12000076.651697021 
 01/01  22:00:00,14061267.673833415 
 01/01  23:00:00,17856187.213163342 
 01/01  24:00:00,17347133.315330297 
 01/02  01:00:00,16066652.577207651 
 01/02  02:00:00,16334454.881221244 
 01/02  03:00:00,17286371.727488305 
 01/02  04:00:00,18460153.78479663 
 01/02  05:00:00,20394293.218840484 
 01/02  06:00:00,22852162.229407553 
 01/02  07:00:00,27052097.745698765 
 01/02  08:00:00,25643316.859011736 
 01/02  09:00:00,19787941.91069026 
 01/02  10:00:00,16163305.637778312 
 01/02  11:00:00,15893412.163435461 
 01/02  12:00:00,11274278.520045117 
 01/02  13:00:00,7926854.361285887 
 01/02  14:00:00,8456648.376355613 
 01/02  15:00:00,8433726.740551807 
 01/02  16:00:00,14247779.24259302 
 01/02  17:00:00,12982597.021544734 
 01/02  18:00:00,13826715.956515256 
 01/02  19:00:00,17228240.446452655 
 01/02  20:00:00,20762895.59906284 
 01/02  21:00:00,18249111.419450462 
 01/02  22:00:00,17064439.372345746 
 01/02  23:00:00,20728283.90518348 
 01/02  24:00:00,22640551.160124294 
