Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.093419E+03,1.081577E+03,1.797935E-01,8.921701E-02
00:20:00,5.113049E+03,1.028213E+03,1.804864E-01,8.481511E-02
00:30:00,5.132297E+03,9.759469E+02,1.811657E-01,8.050369E-02
00:40:00,5.151262E+03,9.246780E+02,1.818351E-01,7.627457E-02
00:50:00,5.170003E+03,8.743971E+02,1.824965E-01,7.212695E-02
01:00:00,5.188569E+03,8.250375E+02,1.831518E-01,6.805534E-02
01:10:00,5.202316E+03,7.812233E+02,1.836370E-01,6.444115E-02
01:20:00,5.214260E+03,7.397863E+02,1.840585E-01,6.102307E-02
01:30:00,5.225060E+03,7.002385E+02,1.844397E-01,5.776083E-02
01:40:00,5.234947E+03,6.624160E+02,1.847887E-01,5.464092E-02
01:50:00,5.244101E+03,6.261869E+02,1.851117E-01,5.165245E-02
02:00:00,5.252614E+03,5.914678E+02,1.854122E-01,4.878853E-02
02:10:00,5.259368E+03,5.591996E+02,1.856506E-01,4.612679E-02
02:20:00,5.265204E+03,5.284864E+02,1.858566E-01,4.359333E-02
02:30:00,5.270368E+03,4.991371E+02,1.860388E-01,4.117237E-02
02:40:00,5.274992E+03,4.710591E+02,1.862020E-01,3.885628E-02
02:50:00,5.279173E+03,4.441809E+02,1.863496E-01,3.663916E-02
03:00:00,5.283027E+03,4.184510E+02,1.864856E-01,3.451676E-02
03:10:00,5.286520E+03,3.937028E+02,1.866089E-01,3.247534E-02
03:20:00,5.289737E+03,3.699118E+02,1.867225E-01,3.051288E-02
03:30:00,5.292671E+03,3.470551E+02,1.868260E-01,2.862750E-02
03:40:00,5.295360E+03,3.252291E+02,1.869209E-01,2.682713E-02
03:50:00,5.297852E+03,3.042484E+02,1.870089E-01,2.509648E-02
04:00:00,5.300180E+03,2.840474E+02,1.870911E-01,2.343016E-02
04:10:00,5.300137E+03,2.666460E+02,1.870896E-01,2.199477E-02
04:20:00,5.299293E+03,2.504726E+02,1.870598E-01,2.066067E-02
04:30:00,5.297964E+03,2.353010E+02,1.870128E-01,1.940921E-02
04:40:00,5.296227E+03,2.209200E+02,1.869515E-01,1.822296E-02
04:50:00,5.294134E+03,2.074215E+02,1.868777E-01,1.710951E-02
05:00:00,5.291731E+03,1.991835E+02,1.867929E-01,1.642998E-02
05:10:00,5.284712E+03,2.040648E+02,1.865451E-01,1.683263E-02
05:20:00,5.275885E+03,2.253643E+02,1.862336E-01,1.858956E-02
05:30:00,5.265883E+03,2.708408E+02,1.858806E-01,2.234079E-02
05:40:00,5.254951E+03,3.397139E+02,1.854947E-01,2.802197E-02
05:50:00,5.243311E+03,4.318362E+02,1.850839E-01,3.562093E-02
06:00:00,5.231084E+03,5.424950E+02,1.846523E-01,4.474896E-02
06:10:00,5.220207E+03,6.664645E+02,1.842685E-01,5.497500E-02
06:20:00,5.209207E+03,7.981228E+02,1.838802E-01,6.583526E-02
06:30:00,5.198033E+03,9.283981E+02,1.834858E-01,7.658138E-02
06:40:00,5.186697E+03,1.060152E+03,1.830858E-01,8.744946E-02
06:50:00,5.175170E+03,1.190401E+03,1.826790E-01,9.819339E-02
07:00:00,5.163518E+03,1.317462E+03,1.822677E-01,1.086743E-01
07:10:00,5.159469E+03,1.434312E+03,1.821249E-01,1.183129E-01
07:20:00,5.156252E+03,1.547008E+03,1.820114E-01,1.276088E-01
07:30:00,5.153515E+03,1.655475E+03,1.819148E-01,1.365558E-01
07:40:00,5.151196E+03,1.756503E+03,1.818330E-01,1.448893E-01
