Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.843966E-01,6.249556E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.814806E+02,1.203777E-01,1.373630E+03,1.269373E+03
00:30:00,1.857642E-01,6.287743E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.875769E+02,1.125733E-01,1.274302E+03,1.163834E+03
00:45:00,1.871027E-01,6.325115E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.936732E+02,1.049588E-01,1.177242E+03,1.060624E+03
01:00:00,1.884163E-01,6.361790E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.997695E+02,9.751382E-02,1.082207E+03,9.598561E+02
01:15:00,1.893821E-01,6.388757E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.038337E+02,9.103504E-02,1.000746E+03,8.737037E+02
01:30:00,1.901994E-01,6.411578E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.078979E+02,8.501790E-02,9.247997E+02,7.933731E+02
01:45:00,1.909165E-01,6.431602E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.119621E+02,7.937281E-02,8.532979E+02,7.178077E+02
02:00:00,1.915623E-01,6.449631E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.160264E+02,7.405768E-02,7.857376E+02,6.465092E+02
02:15:00,1.920635E-01,6.463626E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.190745E+02,6.921088E-02,7.247881E+02,5.822442E+02
02:30:00,1.924956E-01,6.475690E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.221227E+02,6.466067E-02,6.673816E+02,5.217075E+02
02:45:00,1.928767E-01,6.486330E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.251708E+02,6.036894E-02,6.130627E+02,4.644267E+02
03:00:00,1.932176E-01,6.495848E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.282190E+02,5.630948E-02,5.615187E+02,4.100728E+02
03:15:00,1.935136E-01,6.504111E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.312671E+02,5.245898E-02,5.124708E+02,3.583344E+02
03:30:00,1.937723E-01,6.511333E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.343153E+02,4.879467E-02,4.656473E+02,3.088878E+02
03:45:00,1.939996E-01,6.517681E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.373634E+02,4.529511E-02,4.207917E+02,2.614684E+02
04:00:00,1.942021E-01,6.523332E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,4.194610E-02,3.777347E+02,2.159011E+02
04:15:00,1.942477E-01,6.524606E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.424437E+02,3.906547E-02,3.412893E+02,1.772725E+02
04:30:00,1.942183E-01,6.523786E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,3.644642E-02,3.079687E+02,1.419119E+02
04:45:00,1.941401E-01,6.521600E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.465079E+02,3.405116E-02,2.773217E+02,1.093458E+02
05:00:00,1.940230E-01,6.518332E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.485400E+02,3.264295E-02,2.584663E+02,8.935507E+01
05:15:00,1.935781E-01,6.505912E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.465079E+02,3.472194E-02,2.853353E+02,1.181469E+02
05:30:00,1.930003E-01,6.489779E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,4.168963E-02,3.706068E+02,2.097084E+02
05:45:00,1.923285E-01,6.471020E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.424437E+02,5.371674E-02,5.163203E+02,3.660555E+02
06:00:00,1.915846E-01,6.450249E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,6.999129E-02,7.127745E+02,5.757670E+02
06:15:00,1.908334E-01,6.429277E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.332992E+02,8.852591E-02,9.413082E+02,8.181153E+02
06:30:00,1.900228E-01,6.406644E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.261869E+02,1.073640E-01,1.173467E+03,1.062199E+03
