Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Air Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,21.50025775308498,21.50025775308498,21.5,21727665.444162805 
 01/01  02:00:00,-3.0,21.50051866746042,21.50051866746042,21.5,20678943.020024776 
 01/01  03:00:00,-3.625,21.49933962281725,21.49933962281725,21.5,21487094.831586037 
 01/01  04:00:00,-2.75,21.500705061642535,21.500705061642535,21.5,20899248.8768379 
 01/01  05:00:00,-2.0,21.50024816705163,21.50024816705163,21.5,18108541.675278123 
 01/01  06:00:00,-1.375,21.499225000471544,21.499225000471544,21.5,19229111.40942164 
 01/01  07:00:00,-1.0,21.499195690393904,21.499195690393904,21.5,17411685.87915831 
 01/01  08:00:00,-1.0,21.49939012650563,21.49939012650563,21.5,17181081.108616006 
 01/01  09:00:00,-0.375,21.49867214454728,21.49867214454728,21.5,16346978.060555032 
 01/01  10:00:00,1.25,21.500269392515026,21.500269392515026,21.5,15944377.65279023 
 01/01  11:00:00,2.0,21.500856976219332,21.500856976219332,21.5,13227203.644738784 
 01/01  12:00:00,1.375,21.49829195193761,21.49829195193761,21.5,15126906.506948305 
 01/01  13:00:00,2.25,21.499403936591545,21.499403936591545,21.5,16628884.379674125 
 01/01  14:00:00,2.375,21.499189670794127,21.499189670794127,21.5,19108463.393873528 
 01/01  15:00:00,1.375,21.498270354543834,21.498270354543834,21.5,20039014.55210261 
 01/01  16:00:00,1.0,21.49844751319625,21.49844751319625,21.5,19092925.00505855 
 01/01  17:00:00,0.375,21.499826340597885,21.499826340597885,21.5,18457531.593875095 
 01/01  18:00:00,-0.625,21.50138487909593,21.50138487909593,21.5,15018603.86488241 
 01/01  19:00:00,-1.625,21.499566078240218,21.499566078240218,21.5,14742575.327631665 
 01/01  20:00:00,-3.25,21.49981039683291,21.49981039683291,21.5,18818664.45419292 
 01/01  21:00:00,-4.625,21.50009473254108,21.50009473254108,21.5,22998768.112619605 
 01/01  22:00:00,-5.625,21.501053788013067,21.501053788013067,21.5,18824821.483059764 
 01/01  23:00:00,-6.625,21.502120724688982,21.502120724688982,21.5,23157800.4699359 
 01/01  24:00:00,-7.0,21.49972913224898,21.49972913224898,21.5,25772901.259085897 
