Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,21727665.444162805 
 01/01  02:00:00,20678943.020024776 
 01/01  03:00:00,21487094.831586037 
 01/01  04:00:00,20899248.8768379 
 01/01  05:00:00,18108541.675278123 
 01/01  06:00:00,19229111.40942164 
 01/01  07:00:00,17411685.87915831 
 01/01  08:00:00,17181081.108616006 
 01/01  09:00:00,16346978.060555032 
 01/01  10:00:00,15944377.65279023 
 01/01  11:00:00,13227203.644738784 
 01/01  12:00:00,15126906.506948305 
 01/01  13:00:00,16628884.379674125 
 01/01  14:00:00,19108463.393873528 
 01/01  15:00:00,20039014.55210261 
 01/01  16:00:00,19092925.00505855 
 01/01  17:00:00,18457531.593875095 
 01/01  18:00:00,15018603.86488241 
 01/01  19:00:00,14742575.327631665 
 01/01  20:00:00,18818664.45419292 
 01/01  21:00:00,22998768.112619605 
 01/01  22:00:00,18824821.483059764 
 01/01  23:00:00,23157800.4699359 
 01/01  24:00:00,25772901.259085897 
