Time,LIVING ZONE:ANN HTG 99% CONDNS DB:Des Heat Load [W],LIVING ZONE:ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING ZONE:ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING ZONE:ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,9.354403E+03,3.598010E+02,4.958690E-01,3.564854E-02
00:30:00,9.393455E+03,3.267947E+02,4.979392E-01,3.237833E-02
00:45:00,9.423860E+03,2.941944E+02,4.995509E-01,2.914834E-02
01:00:00,9.452309E+03,2.619860E+02,5.010590E-01,2.595718E-02
01:15:00,9.469216E+03,2.355489E+02,5.019552E-01,2.333784E-02
01:30:00,9.482291E+03,2.112134E+02,5.026482E-01,2.092671E-02
01:45:00,9.493002E+03,1.886174E+02,5.032160E-01,1.868793E-02
02:00:00,9.501862E+03,1.676746E+02,5.036857E-01,1.661295E-02
02:15:00,9.509316E+03,1.477371E+02,5.040809E-01,1.463757E-02
02:30:00,9.515689E+03,1.287679E+02,5.044187E-01,1.275813E-02
02:45:00,9.521207E+03,1.107558E+02,5.047112E-01,1.097352E-02
03:00:00,9.526131E+03,9.370727E+01,5.049722E-01,9.284376E-03
03:15:00,9.530559E+03,7.703120E+01,5.052069E-01,7.632137E-03
03:30:00,9.534549E+03,6.077313E+01,5.054184E-01,6.021311E-03
03:45:00,9.538161E+03,4.481211E+01,5.056099E-01,4.439917E-03
04:00:00,9.541445E+03,2.889418E+01,5.057840E-01,2.862793E-03
04:15:00,9.544444E+03,1.577298E+01,5.059429E-01,1.562763E-03
04:30:00,9.547192E+03,6.538980E+00,5.060886E-01,6.478724E-04
04:45:00,9.549618E+03,1.227085E+00,5.062172E-01,1.215777E-04
05:00:00,9.551866E+03,0.000000E+00,5.063364E-01,0.000000E+00
05:15:00,9.553881E+03,0.000000E+00,5.064432E-01,0.000000E+00
05:30:00,9.555674E+03,0.000000E+00,5.065382E-01,0.000000E+00
05:45:00,9.557390E+03,0.000000E+00,5.066292E-01,0.000000E+00
06:00:00,9.558936E+03,0.000000E+00,5.067111E-01,0.000000E+00
06:15:00,9.560411E+03,0.000000E+00,5.067893E-01,0.000000E+00
06:30:00,9.561839E+03,0.000000E+00,5.068651E-01,0.000000E+00
06:45:00,9.563208E+03,0.000000E+00,5.069376E-01,0.000000E+00
07:00:00,9.564515E+03,0.000000E+00,5.070069E-01,0.000000E+00
07:15:00,9.565758E+03,0.000000E+00,5.070728E-01,0.000000E+00
07:30:00,9.566942E+03,8.636430E+00,5.071355E-01,8.581257E-04
07:45:00,9.568066E+03,2.703427E+01,5.071951E-01,2.680957E-03
08:00:00,9.569135E+03,5.265500E+01,5.072518E-01,5.219420E-03
08:15:00,9.570151E+03,8.904458E+01,5.073057E-01,8.824845E-03
08:30:00,9.571117E+03,1.268956E+02,5.073569E-01,1.257263E-02
08:45:00,9.572036E+03,1.741607E+02,5.074056E-01,1.725558E-02
09:00:00,9.572911E+03,2.261841E+02,5.074520E-01,2.240999E-02
09:15:00,9.585660E+03,2.773970E+02,5.081278E-01,2.748408E-02
09:30:00,9.599138E+03,3.287107E+02,5.088423E-01,3.256816E-02
09:45:00,9.612945E+03,3.709637E+02,5.095741E-01,3.675453E-02
10:00:00,9.626977E+03,4.117247E+02,5.103180E-01,4.079307E-02
10:15:00,9.608021E+03,4.519114E+02,5.093131E-01,4.477470E-02
10:30:00,9.582970E+03,4.917272E+02,5.079852E-01,4.871959E-02
10:45:00,9.554500E+03,5.314636E+02,5.064760E-01,5.265662E-02
11:00:00,9.523534E+03,5.709251E+02,5.048345E-01,5.656641E-02
11:15:00,9.545205E+03,6.160100E+02,5.059833E-01,6.103335E-02
11:30:00,9.577140E+03,6.597040E+02,5.076762E-01,6.536249E-02
