Date/Time,Heating:Electricity [J](Hourly) 
 12/21  01:00:00,145385103.87593102 
 12/21  02:00:00,146723159.98315448 
 12/21  03:00:00,147620026.3245796 
 12/21  04:00:00,148283645.6324122 
 12/21  05:00:00,148058044.1809166 
 12/21  06:00:00,146383613.7218245 
 12/21  07:00:00,147410146.64927542 
 12/21  08:00:00,161452967.01079863 
 12/21  09:00:00,161452967.01079863 
 12/21  10:00:00,161039091.32180834 
 12/21  11:00:00,159460287.80932528 
 12/21  12:00:00,161005356.16270274 
 12/21  13:00:00,161452967.01079863 
 12/21  14:00:00,161452967.01079863 
 12/21  15:00:00,160724482.30190504 
 12/21  16:00:00,159230303.15283325 
 12/21  17:00:00,160427392.04014525 
 12/21  18:00:00,161452967.01079863 
 12/21  19:00:00,149282678.8307654 
 12/21  20:00:00,140892783.42275283 
 12/21  21:00:00,155551401.69952857 
 12/21  22:00:00,160597486.1994586 
 12/21  23:00:00,141876035.8676662 
 12/21  24:00:00,143097777.73269162 
 07/21  01:00:00,0.0 
 07/21  02:00:00,0.0 
 07/21  03:00:00,0.0 
 07/21  04:00:00,0.0 
 07/21  05:00:00,0.0 
 07/21  06:00:00,0.0 
 07/21  07:00:00,0.0 
 07/21  08:00:00,0.0 
 07/21  09:00:00,0.0 
 07/21  10:00:00,0.0 
 07/21  11:00:00,0.0 
 07/21  12:00:00,0.0 
 07/21  13:00:00,0.0 
 07/21  14:00:00,0.0 
 07/21  15:00:00,0.0 
 07/21  16:00:00,0.0 
 07/21  17:00:00,0.0 
 07/21  18:00:00,0.0 
 07/21  19:00:00,0.0 
 07/21  20:00:00,0.0 
 07/21  21:00:00,0.0 
 07/21  22:00:00,0.0 
 07/21  23:00:00,0.0 
 07/21  24:00:00,0.0 
 01/01  01:00:00,69775364.3421063 
 01/01  02:00:00,67454580.31757882 
 01/01  03:00:00,72170511.4680839 
 01/01  04:00:00,72292062.38503504 
 01/01  05:00:00,71928145.20617251 
 01/01  06:00:00,68538360.39023809 
 01/01  07:00:00,74358094.31158072 
 01/01  08:00:00,111611822.8250175 
 01/01  09:00:00,73732510.43655252 
 01/01  10:00:00,50862161.430679224 
 01/01  11:00:00,61466295.92601242 
 01/01  12:00:00,80265850.90375926 
 01/01  13:00:00,37778359.14239845 
 01/01  14:00:00,40295165.64881199 
 01/01  15:00:00,48086417.00780305 
 01/01  16:00:00,92450385.73780295 
 01/01  17:00:00,58901943.85432971 
 01/01  18:00:00,47173117.09887527 
 01/01  19:00:00,47561824.69085129 
 01/01  20:00:00,101786443.26757139 
 01/01  21:00:00,76609255.05301487 
 01/01  22:00:00,57705408.24848812 
 01/01  23:00:00,66481931.326727904 
 01/01  24:00:00,92261396.6772439 
