Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,110158822.72779106 
 01/01  02:00:00,97821133.87462938 
 01/01  03:00:00,98351977.40476312 
 01/01  04:00:00,94823887.22578533 
 01/01  05:00:00,0.0 
 01/01  06:00:00,110476618.343692 
 01/01  07:00:00,92611012.1730505 
 01/01  08:00:00,79737905.88529825 
 01/01  09:00:00,75581707.25278401 
 01/01  10:00:00,67190819.57374339 
 01/01  11:00:00,56378953.33822503 
 01/01  12:00:00,58564971.848870665 
 01/01  13:00:00,60170475.71822704 
 01/01  14:00:00,63274984.15733393 
 01/01  15:00:00,71728323.60328048 
 01/01  16:00:00,72917062.19588327 
 01/01  17:00:00,74802335.26062046 
 01/01  18:00:00,81610706.78741084 
 01/01  19:00:00,86852506.73105496 
 01/01  20:00:00,99821661.22957167 
 01/01  21:00:00,106663097.36354628 
 01/01  22:00:00,105713677.72968012 
 01/01  23:00:00,102227299.89928296 
 01/01  24:00:00,119102357.56468786 
