Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWLSPACE_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),CRAWLSPACE_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,21.00002908898249,-2.6795934397858874,5.026963139784558,21.000000000000014,0.0,0.0,0.0,0.0,0.0,10538398.138261188 
 01/01  02:00:00,-3.0,21.00022789137553,-1.0209891878509045,9.996139643323168,21.0,0.0,0.0,0.0,0.0,0.0,8488884.049113058 
 01/01  03:00:00,-3.625,21.00032280153682,-0.954904503783198,9.079850762971795,21.0,0.0,0.0,0.0,0.0,0.0,8939150.971565148 
 01/01  04:00:00,-2.75,21.000337331824937,-0.6206602935316031,9.959367185086816,21.0,0.0,0.0,0.0,0.0,0.0,8452739.843661733 
 01/01  05:00:00,-2.0,21.0002068395291,-0.408881530222602,8.304638313199066,21.0,0.0,0.0,0.0,0.0,0.0,8632992.18406017 
 01/01  06:00:00,-1.375,21.00006929728469,0.8660053915222135,9.957451318837613,21.000000000000007,0.0,0.0,0.0,0.0,0.0,8093306.723597554 
 01/01  07:00:00,-1.0,21.000216673092943,1.349455057749578,11.114464487514947,21.0,0.0,0.0,0.0,0.0,0.0,9854365.415248428 
 01/01  08:00:00,-1.0,21.00069068311839,1.081858042296933,9.743315081638098,21.0,0.0,0.0,0.0,0.0,0.0,10231370.199538847 
 01/01  09:00:00,-0.375,21.0000699613819,2.256568830581723,9.619390701447896,21.0,0.0,0.0,0.0,0.0,0.0,6512286.823521778 
 01/01  10:00:00,1.25,21.000816467080092,3.3290476287843913,9.953189350118311,21.0,0.0,0.0,0.0,0.0,0.0,5145433.976385494 
 01/01  11:00:00,2.0,20.99777147926509,5.170838909780956,8.816508931006751,21.0,0.0,0.0,0.0,0.0,0.0,4811603.299581811 
 01/01  12:00:00,1.375,21.000009740898527,4.325867707947639,6.997016845866983,21.0,0.0,0.0,0.0,0.0,0.0,5198527.774035447 
 01/01  13:00:00,2.25,21.005201439695572,4.037779110643206,6.716686137341483,21.0,0.0,0.0,0.0,0.0,0.0,3738678.814697491 
 01/01  14:00:00,2.375,20.998259180493633,3.907100828984908,6.707922399719417,21.0,0.0,0.0,0.0,0.0,0.0,3803991.6289286194 
 01/01  15:00:00,1.375,20.998967200999314,2.8271888647739916,5.515162076085452,21.0,0.0,0.0,0.0,0.0,0.0,6016233.996053791 
 01/01  16:00:00,1.0,21.00080323053367,2.365069757600895,6.111236670223551,21.0,0.0,0.0,0.0,0.0,0.0,5235895.263297766 
 01/01  17:00:00,0.375,20.997628583124992,1.7972358149804701,6.412291864966345,21.0,0.0,0.0,0.0,0.0,0.0,4887591.760409339 
 01/01  18:00:00,-0.625,20.99879395274118,0.7925522090746561,5.684690975610112,21.0,0.0,0.0,0.0,0.0,0.0,6196464.192929567 
 01/01  19:00:00,-1.625,21.000157562497783,0.046968428315855806,5.133610538284255,21.0,0.0,0.0,0.0,0.0,0.0,7583625.1033282 
 01/01  20:00:00,-3.25,21.000199419746327,-1.7250731441201201,2.816761396814496,21.0,0.0,0.0,0.0,0.0,0.0,8606508.30571008 
 01/01  21:00:00,-4.625,21.00031848877154,-2.9497186345522888,1.8942744765742527,21.0,0.0,0.0,0.0,0.0,0.0,8758217.033169549 
 01/01  22:00:00,-5.625,21.00047369470808,-3.259468567360135,3.7820560885816574,21.0,0.0,0.0,0.0,0.0,0.0,11431439.295255173 
 01/01  23:00:00,-6.625,20.999919646112783,-4.5502209706446735,1.3859423661326329,21.0,0.0,0.0,0.0,0.0,0.0,14539285.974150868 
 01/01  24:00:00,-7.0,20.9997440381426,-5.391690299754508,-0.9151034036644639,21.0,0.0,0.0,0.0,0.0,0.0,14314838.074311998 
