Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,10538398.138261188 
 01/01  02:00:00,8488884.049113058 
 01/01  03:00:00,8939150.971565148 
 01/01  04:00:00,8452739.843661733 
 01/01  05:00:00,8632992.18406017 
 01/01  06:00:00,8093306.723597554 
 01/01  07:00:00,9854365.415248428 
 01/01  08:00:00,10231370.199538847 
 01/01  09:00:00,6512286.823521778 
 01/01  10:00:00,5145433.976385494 
 01/01  11:00:00,4811603.299581811 
 01/01  12:00:00,5198527.774035447 
 01/01  13:00:00,3738678.814697491 
 01/01  14:00:00,3803991.6289286194 
 01/01  15:00:00,6016233.996053791 
 01/01  16:00:00,5235895.263297766 
 01/01  17:00:00,4887591.760409339 
 01/01  18:00:00,6196464.192929567 
 01/01  19:00:00,7583625.1033282 
 01/01  20:00:00,8606508.30571008 
 01/01  21:00:00,8758217.033169549 
 01/01  22:00:00,11431439.295255173 
 01/01  23:00:00,14539285.974150868 
 01/01  24:00:00,14314838.074311998 
