Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.794439E-01,6.298153E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.814806E+02,1.151380E-01,1.311038E+03,1.200355E+03
00:30:00,1.804799E-01,6.328352E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.875769E+02,1.077522E-01,1.216710E+03,1.100386E+03
00:45:00,1.814932E-01,6.357889E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.936732E+02,1.005297E-01,1.124333E+03,1.002415E+03
01:00:00,1.824946E-01,6.387080E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.997695E+02,9.347569E-02,1.033967E+03,9.068131E+02
01:15:00,1.832278E-01,6.408453E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.038337E+02,8.722908E-02,9.552799E+02,8.237427E+02
01:30:00,1.838469E-01,6.426500E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.078979E+02,8.139023E-02,8.814633E+02,7.458291E+02
01:45:00,1.843977E-01,6.442558E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.119621E+02,7.587901E-02,8.115606E+02,6.721131E+02
02:00:00,1.848976E-01,6.457129E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.160264E+02,7.066229E-02,7.451757E+02,6.021973E+02
02:15:00,1.852883E-01,6.468518E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.190745E+02,6.585928E-02,6.847491E+02,5.385961E+02
02:30:00,1.856187E-01,6.478150E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.221227E+02,6.133931E-02,6.277036E+02,4.785102E+02
02:45:00,1.859060E-01,6.486523E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.251708E+02,5.706588E-02,5.736033E+02,4.215114E+02
03:00:00,1.861568E-01,6.493833E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.282190E+02,5.301875E-02,5.222065E+02,3.673648E+02
03:15:00,1.863789E-01,6.500307E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.312671E+02,4.915521E-02,4.730028E+02,3.155201E+02
03:30:00,1.865752E-01,6.506029E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.343153E+02,4.546079E-02,4.258195E+02,2.657649E+02
03:45:00,1.867508E-01,6.511147E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.373634E+02,4.192102E-02,3.804835E+02,2.179142E+02
04:00:00,1.869129E-01,6.515871E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,3.852645E-02,3.368821E+02,1.718476E+02
04:15:00,1.869369E-01,6.516573E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.424437E+02,3.558054E-02,2.996567E+02,1.324523E+02
04:30:00,1.869064E-01,6.515684E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,3.287849E-02,2.653445E+02,9.609853E+01
04:45:00,1.868384E-01,6.513700E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.465079E+02,3.038784E-02,2.335578E+02,6.237143E+01
05:00:00,1.867397E-01,6.510824E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.485400E+02,2.882717E-02,2.128811E+02,4.044236E+01
05:15:00,1.863782E-01,6.500287E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.465079E+02,3.042556E-02,2.340084E+02,6.295177E+01
05:30:00,1.859027E-01,6.486425E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,3.654815E-02,3.091843E+02,1.433971E+02
05:45:00,1.853522E-01,6.470379E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.424437E+02,4.732317E-02,4.399400E+02,2.834022E+02
06:00:00,1.847447E-01,6.452669E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,6.193483E-02,6.165294E+02,4.718285E+02
06:15:00,1.841907E-01,6.436520E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.332992E+02,7.845355E-02,8.209811E+02,6.887481E+02
06:30:00,1.836204E-01,6.419895E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.261869E+02,9.513245E-02,1.027346E+03,9.064548E+02
06:45:00,1.830332E-01,6.402780E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.190745E+02,1.119246E-01,1.235064E+03,1.124428E+03
07:00:00,1.824312E-01,6.385231E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.119621E+02,1.283265E-01,1.438121E+03,1.336676E+03
07:15:00,1.822357E-01,6.379528E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.946893E+02,1.433061E-01,1.634347E+03,1.541042E+03
07:30:00,1.820865E-01,6.375176E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.774164E+02,1.575394E-01,1.821660E+03,1.733210E+03
07:45:00,1.819630E-01,6.371575E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.601435E+02,1.706147E-01,1.995139E+03,1.910165E+03
08:00:00,1.818581E-01,6.368515E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.428707E+02,1.828998E-01,2.159179E+03,2.077814E+03
08:15:00,1.829730E-01,6.401010E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.235657E+02,1.917473E-01,2.284182E+03,2.200030E+03
