Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.307371E+03,1.395808E+03,1.794439E-01,1.151380E-01
00:30:00,5.338018E+03,1.306272E+03,1.804799E-01,1.077522E-01
00:45:00,5.367992E+03,1.218717E+03,1.814932E-01,1.005297E-01
01:00:00,5.397615E+03,1.133203E+03,1.824946E-01,9.347569E-02
01:15:00,5.419304E+03,1.057477E+03,1.832278E-01,8.722908E-02
01:30:00,5.437619E+03,9.866938E+02,1.838469E-01,8.139023E-02
01:45:00,5.453915E+03,9.198825E+02,1.843977E-01,7.587901E-02
02:00:00,5.468702E+03,8.566411E+02,1.848976E-01,7.066229E-02
02:15:00,5.480259E+03,7.984149E+02,1.852883E-01,6.585928E-02
02:30:00,5.490033E+03,7.436197E+02,1.856187E-01,6.133931E-02
02:45:00,5.498530E+03,6.918132E+02,1.859060E-01,5.706588E-02
03:00:00,5.505948E+03,6.427502E+02,1.861568E-01,5.301875E-02
03:15:00,5.512518E+03,5.959126E+02,1.863789E-01,4.915521E-02
03:30:00,5.518325E+03,5.511253E+02,1.865752E-01,4.546079E-02
03:45:00,5.523518E+03,5.082126E+02,1.867508E-01,4.192102E-02
04:00:00,5.528312E+03,4.670601E+02,1.869129E-01,3.852645E-02
04:15:00,5.529025E+03,4.313468E+02,1.869369E-01,3.558054E-02
04:30:00,5.528122E+03,3.985898E+02,1.869064E-01,3.287849E-02
04:45:00,5.526109E+03,3.683955E+02,1.868384E-01,3.038784E-02
05:00:00,5.523190E+03,3.494755E+02,1.867397E-01,2.882717E-02
05:15:00,5.512498E+03,3.688531E+02,1.863782E-01,3.042556E-02
05:30:00,5.498431E+03,4.430775E+02,1.859027E-01,3.654815E-02
