Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,-4.5,11.116592687881864,20.999802672253203,-5.618232151827111,0.0,21.0,0.0,100945130.08341594 
 01/01  02:00:00,-3.0,11.104297715668036,20.99819412095666,-5.253882646537441,0.0,21.0,0.0,93770350.85916275 
 01/01  03:00:00,-3.625,10.639954106141989,20.99798803148186,-5.11479054760096,0.0,21.0,0.0,97635490.5796091 
 01/01  04:00:00,-2.75,10.444543091311868,21.000330747287638,-4.797472877519153,0.0,21.0,0.0,93924896.90836582 
 01/01  05:00:00,-2.0,10.226896867181775,14.116158699758664,-4.035631747542153,0.0,12.0,0.0,0.0 
 01/01  06:00:00,-1.375,10.002697294544223,20.947003078925604,-3.275681698475724,0.0,21.0,0.0,109610715.17539231 
 01/01  07:00:00,-1.0,9.908949709805075,20.997426194547973,-2.8592249485350965,0.0,21.0,0.0,94658045.72254646 
 01/01  08:00:00,-1.0,9.792529570334814,21.000586915111477,-2.292925135432928,0.0,21.0,0.0,90819720.28853893 
 01/01  09:00:00,-0.375,9.849780037950838,20.999590814702238,-0.025086217005346134,0.0,21.0,0.0,83452081.96046028 
 01/01  10:00:00,1.25,10.202050924707809,21.000346364688916,2.609918392905863,0.0,21.0,0.0,76688489.62547433 
 01/01  11:00:00,2.0,10.455261021418476,20.999857431220498,5.133187847429189,0.0,21.0,0.0,72353399.28733861 
 01/01  12:00:00,1.375,10.320625888307477,21.001266297218702,7.203444796797914,0.0,21.0,0.0,80088399.6340976 
 01/01  13:00:00,2.25,10.573426097752133,21.000146393534408,7.262700659435204,0.0,21.0,0.0,76885786.79896557 
 01/01  14:00:00,2.375,10.703240933334392,21.000471889206732,6.616823685619551,0.0,21.0,0.0,76495197.39382434 
 01/01  15:00:00,1.375,10.413676311173155,20.999957767787485,4.888699635908093,0.0,21.0,0.0,81799283.97377008 
 01/01  16:00:00,1.0,10.328476744109636,21.001043215402827,3.48078021315556,0.0,21.0,0.0,75726449.84914592 
 01/01  17:00:00,0.375,10.186951359763281,20.998762852561004,2.5300030147382264,0.0,21.0,0.0,76302160.35357207 
 01/01  18:00:00,-0.625,9.807521469079692,20.99948691448032,1.1780643354131586,0.0,21.0,0.0,84672697.73026182 
 01/01  19:00:00,-1.625,9.439173520302052,20.999667606724692,-0.1264671503780352,0.0,21.0,0.0,90614634.07172307 
 01/01  20:00:00,-3.25,8.667351554232942,21.001035013107334,-1.7007147056789935,0.0,21.0,0.0,106242413.72392604 
 01/01  21:00:00,-4.625,8.139434558439355,20.99969909732611,-3.0502245259399894,0.0,21.0,0.0,110314428.8205519 
 01/01  22:00:00,-5.625,7.982318142534625,21.000572046601054,-4.026390325906366,0.0,21.0,0.0,108940525.2595555 
 01/01  23:00:00,-6.625,7.358307611129383,21.00019889325617,-5.190400074248791,0.0,21.0,0.0,119982667.03288627 
 01/01  24:00:00,-7.0,6.744300800642734,21.001820397859234,-6.014658089746754,0.0,21.0,0.0,127943796.155659 
