Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,12.504446786061237,12.386189645994296,-6.000356770469463,0.0,21.5,0.0,4320000.0 
 01/01  02:00:00,-3.0,11.807435069574714,12.17096575579847,-5.60105935957738,0.0,21.5,0.0,4320000.0 
 01/01  03:00:00,-3.625,11.169347998180328,11.543612238900453,-5.444508707319064,0.0,21.5,0.0,4320000.0 
 01/01  04:00:00,-2.75,10.680452866475665,11.18967050912907,-5.188732213933564,0.0,21.5,0.0,4320000.0 
 01/01  05:00:00,-2.0,10.26065505796383,10.97203758131456,-4.381175737717577,0.0,21.5,0.0,4320000.0 
 01/01  06:00:00,-1.375,9.95032917217526,11.304543839177793,-3.6038539124518882,0.0,21.5,0.0,4320000.0 
 01/01  07:00:00,-1.0,9.633526054386792,12.22185055230726,-3.1866325847776156,0.0,21.5,0.0,4320000.0 
 01/01  08:00:00,-1.0,9.22222167264048,12.090573562837386,-2.6923904627748616,0.0,21.5,0.0,4320000.0 
 01/01  09:00:00,-0.375,8.926995025691983,11.360807767579143,-1.0861349143118402,0.0,21.5,0.0,4320000.0 
 01/01  10:00:00,1.25,8.838412373135025,11.363453524983562,1.5597856300473103,0.0,21.5,0.0,4320000.0 
 01/01  11:00:00,2.0,8.883252701250566,12.235546578338386,4.256293185345682,0.0,21.5,0.0,4320000.0 
 01/01  12:00:00,1.375,9.072132812981495,12.844332288783006,6.81228243581325,0.0,21.5,0.0,4320000.0 
 01/01  13:00:00,2.25,9.34268741952803,12.755999248384443,6.984603108764117,0.0,21.5,0.0,4320000.0 
 01/01  14:00:00,2.375,9.396704017253349,12.535960796271905,6.39630260951229,0.0,21.5,0.0,4320000.0 
 01/01  15:00:00,1.375,9.069431855805194,12.23720542009894,4.575418769339183,0.0,21.5,0.0,4320000.0 
 01/01  16:00:00,1.0,8.758261164299627,12.115544966038925,3.116530489075973,0.0,21.5,0.0,4320000.0 
 01/01  17:00:00,0.375,8.531184167976516,11.997594236867638,2.190204847309447,0.0,21.5,0.0,4320000.0 
 01/01  18:00:00,-0.625,8.17296658467086,11.337932740899902,0.7892919672437432,0.0,21.5,0.0,4320000.0 
 01/01  19:00:00,-1.625,7.727964728193989,10.76877689474248,-0.48429440995070927,0.0,21.5,0.0,4320000.0 
 01/01  20:00:00,-3.25,7.064214837068665,9.920088815364053,-2.0267878199988907,0.0,21.5,0.0,4320000.0 
 01/01  21:00:00,-4.625,6.381515779031546,9.241865701282702,-3.4478762613490597,0.0,21.5,0.0,4320000.0 
 01/01  22:00:00,-5.625,5.980433212567819,8.870107324322037,-4.447950375974007,0.0,21.5,0.0,4320000.0 
 01/01  23:00:00,-6.625,5.430528099983633,8.121364287039052,-5.606405881963873,0.0,21.5,0.0,4320000.0 
 01/01  24:00:00,-7.0,4.8304691628898215,7.311964133964005,-6.472011097442409,0.0,21.5,0.0,4320000.0 
