Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,-4.5,-3.42590390326517,21.0,0.0,21.0,7053678.782712592 
 01/01  02:00:00,-3.0,-3.964148656373407,21.0,0.0,21.0,6294286.925296189 
 01/01  03:00:00,-3.625,-4.334403015520411,21.0,0.0,21.0,6610726.1954395585 
 01/01  04:00:00,-2.75,-4.673527230572919,21.0,0.0,21.0,6373986.025341553 
 01/01  05:00:00,-2.0,-4.800030278402366,17.403178853236547,0.0,12.0,0.0 
 01/01  06:00:00,-1.375,-4.702294364027116,20.87035573938487,0.0,21.0,8779991.94069907 
 01/01  07:00:00,-1.0,-4.605509496134639,20.99999993634852,0.0,21.0,6960519.181007352 
 01/01  08:00:00,-1.0,-4.469455893338372,20.99999999999942,0.0,21.0,6273494.248906921 
 01/01  09:00:00,-0.375,-3.9710290329182296,21.0,0.0,21.0,2811214.8115486726 
 01/01  10:00:00,1.25,-2.921442192366529,21.0,0.0,21.0,3144702.3391373837 
 01/01  11:00:00,2.0,-1.5098795245913033,21.000001150018896,0.0,21.0,1429581.4669243293 
 01/01  12:00:00,1.375,0.7178873471107012,21.000001486805395,0.0,21.0,2320372.975174916 
 01/01  13:00:00,2.25,2.028102658271399,21.000000000979202,0.0,21.0,2805180.666298504 
 01/01  14:00:00,2.375,2.8140637362161915,21.0,0.0,21.0,3892471.1388109424 
 01/01  15:00:00,1.375,3.0766175875168917,21.0,0.0,21.0,4870588.813481158 
 01/01  16:00:00,1.0,2.884232594318667,21.0,0.0,21.0,4930009.606525717 
 01/01  17:00:00,0.375,2.5874231399699923,21.0,0.0,21.0,7411181.354266444 
 01/01  18:00:00,-0.625,2.083038951354015,21.0,0.0,21.0,5240925.998958918 
 01/01  19:00:00,-1.625,1.4700144272000106,21.0,0.0,21.0,5706037.632542278 
 01/01  20:00:00,-3.25,0.7847857643589762,21.0,0.0,21.0,6926181.227814847 
 01/01  21:00:00,-4.625,-0.031349604898056174,21.0,0.0,21.0,7329058.849980382 
 01/01  22:00:00,-5.625,-0.9059984516442223,21.0,0.0,21.0,7263509.098967931 
 01/01  23:00:00,-6.625,-1.7966835835729178,21.0,0.0,21.0,8094908.387863898 
 01/01  24:00:00,-7.0,-2.679883457323,21.0,0.0,21.0,8716257.316246562 
