Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED BASEMENT ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED BASEMENT ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,21.5,-6.002542689808411,18.709969016229433,21.5,0.0,0.0,43508450.52550455 
 01/01  02:00:00,-3.0,21.5,-5.6342256194210485,18.388926010986033,21.5,0.0,0.0,40983734.19176473 
 01/01  03:00:00,-3.625,21.5,-5.433470992276388,18.129200697172763,21.5,0.0,0.0,41733011.04680818 
 01/01  04:00:00,-2.75,21.5,-5.15883384894184,17.92457307629704,21.5,0.0,0.0,40186582.40905359 
 01/01  05:00:00,-2.0,21.5,-4.3305969495513175,17.756888137709538,21.5,0.0,0.0,40036479.88392382 
 01/01  06:00:00,-1.375,21.5,-3.5471374683610337,17.606359527507394,21.5,0.0,0.0,32284498.727047704 
 01/01  07:00:00,-1.0,21.5,-3.086444022046923,17.4818043944612,21.5,0.0,0.0,31043332.715848897 
 01/01  08:00:00,-1.0,21.5,-2.502578873057689,17.37434884097706,21.5,0.0,0.0,34512938.83543397 
 01/01  09:00:00,-0.375,21.5,-0.4415216082803993,17.32808881834105,21.5,0.0,0.0,30183121.389438454 
 01/01  10:00:00,1.25,21.5,2.32719692092403,17.2822145311885,21.5,0.0,0.0,26703571.04973624 
 01/01  11:00:00,2.0,21.5,4.786652111091234,17.22455989380631,21.5,0.0,0.0,23945290.322452374 
 01/01  12:00:00,1.375,21.5,6.984079668273223,17.1699948427037,21.5,0.0,0.0,25861322.994092356 
 01/01  13:00:00,2.25,21.5,7.004322815452606,17.1657221701846,21.5,0.0,0.0,25108948.304254152 
 01/01  14:00:00,2.375,21.5,6.412923730453827,17.153624187306985,21.5,0.0,0.0,26133117.76677397 
 01/01  15:00:00,1.375,21.5,4.702397562235724,17.104425976266644,21.5,0.0,0.0,29326173.60181495 
 01/01  16:00:00,1.0,21.5,3.260311922526252,17.03881598592101,21.5,0.0,0.0,29967682.25833392 
 01/01  17:00:00,0.375,21.5,2.353867471963323,17.024556026126064,21.5,0.0,0.0,28274251.253371976 
 01/01  18:00:00,-0.625,21.5,1.0539440248166119,17.025404678816763,21.5,0.0,0.0,30926231.268625133 
 01/01  19:00:00,-1.625,21.5,-0.2920118578858657,16.99328927181115,21.5,0.0,0.0,32660228.675453566 
 01/01  20:00:00,-3.25,21.5,-1.822106703078001,16.88288589164678,21.5,0.0,0.0,38021070.60901207 
 01/01  21:00:00,-4.625,21.5,-3.2595328212685475,16.763791041100934,21.5,0.0,0.0,40284760.24049778 
 01/01  22:00:00,-5.625,21.5,-4.251832953040782,16.63731860034477,21.5,0.0,0.0,37905272.49775662 
 01/01  23:00:00,-6.625,21.5,-5.3996475989395964,16.48821127480247,21.5,0.0,0.0,46208471.06998282 
 01/01  24:00:00,-7.0,21.5,-6.289744199806977,16.351607764918704,21.5,0.0,0.0,50441486.08335968 
