Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,-4.5,26.966759287437522,10.75330957994903,21.49999999900347,23.0,22.126552774908827,-4.90617719880032,0.0,0.0,21.5,0.0,0.0,0.0,79142178.47376376 
 01/01  02:00:00,-3.0,26.435319875893086,10.995963255436319,21.499999999999893,23.0,22.071355895461036,-4.460878452767917,0.0,0.0,21.5,0.0,0.0,0.0,70542083.7869254 
 01/01  03:00:00,-3.625,26.406517887197694,10.72592579690557,21.5,23.0,22.02935038547137,-4.150789459850105,0.0,0.0,21.5,0.0,0.0,0.0,70691860.18556389 
 01/01  04:00:00,-2.75,26.511322193904498,10.535894442570685,21.5,22.999999999999996,22.046951000075712,-3.8537870998151416,0.0,0.0,21.5,0.0,0.0,0.0,68292277.54287612 
 01/01  05:00:00,-2.0,26.35225285588163,10.436843960713869,21.5,23.0,22.0330036882376,-3.111685709224017,0.0,0.0,21.5,0.0,0.0,0.0,66077601.036352664 
 01/01  06:00:00,-1.375,26.349544700156997,10.404616984746484,21.5,23.0,22.03560347858727,-2.2892260993136384,0.0,0.0,21.5,0.0,0.0,0.0,63558261.15935595 
 01/01  07:00:00,-1.0,26.007055499826244,10.401909275931214,21.5,23.0,22.02031149760706,-1.8094024287692503,0.0,0.0,21.5,0.0,0.0,0.0,59368338.52545211 
 01/01  08:00:00,-1.0,26.08972612311264,10.259270533042905,21.50002270324414,23.0,21.985755308675465,-1.1887583050542714,0.0,0.0,21.5,0.0,0.0,0.0,60266852.161140464 
 01/01  09:00:00,-0.375,25.531532083389692,10.28853902493595,21.500016422987393,23.0,21.9891675952035,1.0675550731512256,0.0,0.0,21.5,0.0,0.0,0.0,51531605.23364583 
 01/01  10:00:00,1.25,25.10494210711844,10.520587760591027,21.50001099589078,23.0,21.919966941610177,3.6432537514292194,0.0,0.0,21.5,0.0,0.0,0.0,46510123.87304798 
 01/01  11:00:00,2.0,24.58459096997844,10.843007115881514,21.500018191775283,23.0,21.87656268387603,6.094641724706374,0.0,0.0,21.5,0.0,0.0,0.0,41380362.76450014 
 01/01  12:00:00,1.375,24.391776468300062,10.840546601753477,21.500000215564814,23.0,21.817086601734438,8.100808778743552,0.0,0.0,21.5,0.0,0.0,0.0,42387178.87875244 
 01/01  13:00:00,2.25,24.80980578011536,10.711400151217234,21.500000000000533,23.0,21.84064230933418,7.924279680600129,0.0,0.0,21.5,0.0,0.0,0.0,42959898.57774452 
 01/01  14:00:00,2.375,24.85827750320862,10.643455914430803,21.49998549485288,23.0,21.84709706796589,7.125462108945205,0.0,0.0,21.5,0.0,0.0,0.0,45138142.86028813 
 01/01  15:00:00,1.375,25.37114091632825,10.248955243363778,21.500043840749765,23.0,21.890799552161038,5.286949922631035,0.0,0.0,21.5,0.0,0.0,0.0,49024751.473879434 
 01/01  16:00:00,1.0,25.097061756810024,10.027698124372236,21.500062257215824,23.0,21.90712112953243,3.8561557486026077,0.0,0.0,21.5,0.0,0.0,0.0,46332148.68514422 
 01/01  17:00:00,0.375,25.459451785818054,9.853610571278484,21.500020048792383,23.0,21.902278551910886,2.794790410380256,0.0,0.0,21.5,0.0,0.0,0.0,50250911.12243684 
 01/01  18:00:00,-0.625,25.827161540901052,9.445999815332831,21.499949951075973,23.0,21.931440249661264,1.4520441386425236,0.0,0.0,21.5,0.0,0.0,0.0,55331263.40449146 
 01/01  19:00:00,-1.625,26.21907849257559,9.036836707120496,21.499999446347854,23.0,21.98449945311219,0.28612856549225474,0.0,0.0,21.5,0.0,0.0,0.0,59031550.2892565 
 01/01  20:00:00,-3.25,26.714735881024552,8.358623476101716,21.499844662624028,23.0,22.009801662096393,-1.2309107187780453,0.0,0.0,21.5,0.0,0.0,0.0,68106698.96130681 
 01/01  21:00:00,-4.625,27.533689751211718,7.772667364425409,21.499929605879124,23.0,22.11949758912551,-2.5260484738598823,0.0,0.0,21.5,0.0,0.0,0.0,74674434.87022758 
 01/01  22:00:00,-5.625,27.629118339418707,7.4954377188868335,21.49999998372303,23.0,22.150072536805535,-3.408384913929262,0.0,0.0,21.5,0.0,0.0,0.0,76455971.81668481 
 01/01  23:00:00,-6.625,27.94038719900937,6.939245928672262,21.49985996893189,23.0,22.16533526182523,-4.541903689872164,0.0,0.0,21.5,0.0,0.0,0.0,81850851.31875 
 01/01  24:00:00,-7.0,28.49263529269724,6.36877950780721,21.499996287613808,23.0,22.229380986615688,-5.373569191585302,0.0,0.0,21.5,0.0,0.0,0.0,86730125.37597291 
