Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,-4.5,22.064253660956123,21.5,23.00000000000001,21.58254659755324,0.0,21.5,0.0,0.0,34167228.377077855 
 01/01  02:00:00,-3.0,21.572624507661317,21.5,23.000000000000014,21.550290988375757,0.0,21.5,0.0,0.0,31326491.472327504 
 01/01  03:00:00,-3.625,21.489487863171977,21.5,23.000000000000014,21.51119065156405,0.0,21.5,0.0,0.0,32181431.012703266 
 01/01  04:00:00,-2.75,21.592169510811303,21.5,23.00000000000001,21.508132592276546,0.0,21.5,0.0,0.0,31265368.388591796 
 01/01  05:00:00,-2.0,21.337453612960516,21.5,23.000000000000014,21.49811323546133,0.0,21.5,0.0,0.0,29958369.801131845 
 01/01  06:00:00,-1.375,21.2089999713666,21.5,23.00000000000001,21.48006284341057,0.0,21.5,0.0,0.0,28148838.897860423 
 01/01  07:00:00,-1.0,20.70290001428322,21.5,23.000000000000014,21.43624573166798,0.0,21.5,0.0,0.0,25687530.61853227 
 01/01  08:00:00,-1.0,20.797835957922477,21.5,23.00000000000001,21.400031074522722,0.0,21.5,0.0,0.0,25890777.216594614 
 01/01  09:00:00,-0.375,19.941113858766442,21.5,23.00000000000001,21.363568395705595,0.0,21.5,0.0,0.0,20778921.621459514 
 01/01  10:00:00,1.25,19.51455099314149,21.5,23.00000000000001,21.269333599883225,0.0,21.5,0.0,0.0,19958379.047308326 
 01/01  11:00:00,2.0,19.30119925265061,21.5,23.00000000000001,21.235738310657517,0.0,21.5,0.0,0.0,17500839.059120998 
 01/01  12:00:00,1.375,19.45581179117583,21.5,23.000000000000014,21.215670521497362,0.0,21.5,0.0,0.0,20092767.007075265 
 01/01  13:00:00,2.25,19.85501736203289,21.500003700975377,23.000000000000014,21.23292871926846,0.0,21.5,0.0,0.0,21018363.91132012 
 01/01  14:00:00,2.375,19.888057758709245,21.499999999992067,23.000000000000014,21.256996031341572,0.0,21.5,0.0,0.0,21677264.072802678 
 01/01  15:00:00,1.375,20.488290381021624,21.5,23.000000000000014,21.305076023753102,0.0,21.5,0.0,0.0,25428122.056489564 
 01/01  16:00:00,1.0,20.77574912082008,21.5,23.00000000000001,21.363200527661192,0.0,21.5,0.0,0.0,26157117.64428395 
 01/01  17:00:00,0.375,20.695132363289922,21.5,23.00000000000001,21.38468368576639,0.0,21.5,0.0,0.0,26639746.599446736 
 01/01  18:00:00,-0.625,21.277763523274846,21.5,23.000000000000014,21.415406660966383,0.0,21.5,0.0,0.0,31908108.26117313 
 01/01  19:00:00,-1.625,21.10664517682378,21.500000000000004,23.000000000000014,21.467291501437423,0.0,21.5,0.0,0.0,28739032.982946027 
 01/01  20:00:00,-3.25,21.01778978144499,21.5,23.000000000000014,21.43029445944815,0.0,21.5,0.0,0.0,32415800.797711536 
 01/01  21:00:00,-4.625,21.490664556028946,21.5,23.000000000000014,21.469634064405625,0.0,21.5,0.0,0.0,34545901.89862218 
 01/01  22:00:00,-5.625,21.727596261739752,21.5,23.000000000000014,21.496781451780386,0.0,21.5,0.0,0.0,38873874.063597366 
 01/01  23:00:00,-6.625,21.84625549830152,21.5,23.000000000000014,21.549933965498845,0.0,21.5,0.0,0.0,38084112.6947003 
 01/01  24:00:00,-7.0,21.93454388530689,21.5,23.000000000000014,21.544326581823505,0.0,21.5,0.0,0.0,40462561.237530164 
