Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 07/21  01:00:00,22.226250000000004,21.819220806245916,21.213380826192296,20.944964271569564,23.965668975600625,0.0,0.0,0.0,21.5,0.0 
 07/21  02:00:00,21.917500000000004,21.753634697571727,21.11620485406071,20.81736754926498,23.88165249681034,0.0,0.0,0.0,21.5,0.0 
 07/21  03:00:00,21.698125,21.682344339820656,21.043780984249118,20.721774448105684,23.689476020545747,0.0,0.0,0.0,21.5,0.0 
 07/21  04:00:00,21.503125000000004,21.61032699846064,20.979069180931834,20.638066771027027,23.537176158917006,0.0,0.0,0.0,21.5,0.0 
 07/21  05:00:00,21.34875,21.53836416933995,20.92232176800815,20.564616767195673,23.383844469042373,0.0,0.0,0.0,21.5,0.0 
 07/21  06:00:00,21.38125,21.467600492141074,20.897211749681123,20.529522932476503,23.307584095539237,0.0,0.0,0.0,21.5,0.0 
 07/21  07:00:00,21.714375,21.40324297454509,20.924777602886138,20.562891956984537,23.32519010967616,0.0,0.0,0.0,21.5,0.0 
 07/21  08:00:00,22.575625000000002,21.354556519136224,21.047933425500577,20.726140546427565,23.483218561391634,0.0,0.0,0.0,21.5,0.0 
 07/21  09:00:00,23.761875000000003,21.333233804237658,21.23416860158696,21.024667620808017,23.96530692223533,0.0,0.0,0.0,21.5,0.0 
 07/21  10:00:00,24.915625000000002,21.33577901779592,21.412193105996966,21.306420801975907,23.95421671770086,0.0,0.0,0.0,21.5,0.0 
 07/21  11:00:00,25.939375,21.387563992370396,21.562551958115108,21.53562503733714,24.000036912143358,0.0,0.0,0.0,21.5,0.0 
