Time,LIVING ZONE:ANN HTG 99% CONDNS DB:Des Heat Load [W],LIVING ZONE:ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING ZONE:ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING ZONE:ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.049346E+03,3.305853E+01,1.086400E-01,2.886344E-03
00:30:00,2.031597E+03,3.494454E+01,1.076987E-01,3.050947E-03
00:45:00,1.983017E+03,2.464359E+01,1.051234E-01,2.151573E-03
01:00:00,1.924293E+03,1.979055E+01,1.020103E-01,1.727860E-03
01:15:00,1.933825E+03,1.757740E+01,1.025158E-01,1.534634E-03
01:30:00,1.942573E+03,0.000000E+00,1.029800E-01,0.000000E+00
01:45:00,1.951114E+03,0.000000E+00,1.034328E-01,0.000000E+00
02:00:00,1.959360E+03,0.000000E+00,1.038699E-01,0.000000E+00
02:15:00,1.967379E+03,0.000000E+00,1.042949E-01,0.000000E+00
02:30:00,1.975201E+03,0.000000E+00,1.047095E-01,0.000000E+00
02:45:00,1.982892E+03,0.000000E+00,1.051172E-01,0.000000E+00
03:00:00,1.990419E+03,0.000000E+00,1.055162E-01,0.000000E+00
03:15:00,1.997791E+03,0.000000E+00,1.059069E-01,0.000000E+00
03:30:00,2.005022E+03,0.000000E+00,1.062902E-01,0.000000E+00
03:45:00,2.012114E+03,0.000000E+00,1.066661E-01,0.000000E+00
04:00:00,2.019071E+03,0.000000E+00,1.070349E-01,0.000000E+00
04:15:00,2.025891E+03,0.000000E+00,1.073964E-01,0.000000E+00
04:30:00,2.032578E+03,0.000000E+00,1.077508E-01,0.000000E+00
04:45:00,2.039132E+03,0.000000E+00,1.080982E-01,0.000000E+00
05:00:00,2.045557E+03,0.000000E+00,1.084388E-01,0.000000E+00
05:15:00,2.051852E+03,0.000000E+00,1.087725E-01,0.000000E+00
05:30:00,2.058020E+03,0.000000E+00,1.090994E-01,0.000000E+00
05:45:00,2.064064E+03,0.000000E+00,1.094198E-01,0.000000E+00
06:00:00,2.069986E+03,0.000000E+00,1.097337E-01,0.000000E+00
06:15:00,2.075788E+03,0.000000E+00,1.100412E-01,0.000000E+00
06:30:00,2.081473E+03,0.000000E+00,1.103426E-01,0.000000E+00
06:45:00,2.087016E+03,0.000000E+00,1.106364E-01,0.000000E+00
