Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED BASEMENT CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED BASEMENT ZONE:Zone Mean Air Temperature [C](Hourly),CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED BASEMENT CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED BASEMENT ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,3.964140375267334,21.5,18.151570024438517,19.41500766953542,0.0,21.5,0.0,0.0,10649840.677420385 
 01/01  02:00:00,-3.0,3.6463004993702803,21.5,17.946290315717622,19.269754635753777,0.0,21.5,0.0,0.0,9822815.333803382 
 01/01  03:00:00,-3.625,3.4752365946923147,21.5,17.75657914694334,19.118545965095503,0.0,21.5,0.0,0.0,10139769.364166707 
 01/01  04:00:00,-2.75,3.2809360109598833,21.5,17.597506937183816,18.98878956990631,0.0,21.5,0.0,0.0,9853673.545133378 
 01/01  05:00:00,-2.0,3.270040522639522,21.5,17.454314136491305,18.901416961165786,0.0,21.5,0.0,0.0,8379454.87812718 
 01/01  06:00:00,-1.375,3.405157088700776,21.5,17.325993156303753,18.83010794505107,0.0,21.5,0.0,0.0,8029197.805520588 
 01/01  07:00:00,-1.0,3.501827637399857,21.5,17.212538678816863,18.72815088322924,0.0,21.5,0.0,0.0,7388256.155322398 
 01/01  08:00:00,-1.0,3.6457753041744434,21.5,17.1043071875104,18.620813588916818,0.0,21.5,0.0,0.0,9151620.45110187 
 01/01  09:00:00,-0.375,4.216324324883727,21.5,17.01186455552829,18.544388061162742,0.0,21.5,0.0,0.0,8159703.3967742305 
 01/01  10:00:00,1.25,5.149772448308159,21.5,16.959230797161275,18.500558970654026,0.0,21.5,0.0,0.0,7241110.334509865 
 01/01  11:00:00,2.0,6.2725647405828,21.5,16.936785133487223,18.461165208999365,0.0,21.5,0.0,0.0,6346843.119100862 
 01/01  12:00:00,1.375,8.073497057455214,21.5,16.948574559932617,18.403823636923605,0.0,21.5,0.0,0.0,6901780.029559873 
 01/01  13:00:00,2.25,9.00774032211947,21.5,17.00082535283762,18.39266647773808,0.0,21.5,0.0,0.0,6424088.397097606 
 01/01  14:00:00,2.375,9.526078490837081,21.5,17.02772417770136,18.34939656094074,0.0,21.5,0.0,0.0,6974882.85168395 
 01/01  15:00:00,1.375,9.526084224424348,21.5,17.01786811098578,18.298021956512194,0.0,21.5,0.0,0.0,7838621.541529696 
 01/01  16:00:00,1.0,9.025608702493653,21.5,16.978526109946287,18.2446987805701,0.0,21.5,0.0,0.0,7567755.125420422 
 01/01  17:00:00,0.375,8.581720446683587,21.5,16.90976738237706,18.18663435111433,0.0,21.5,0.0,0.0,7233678.201018658 
 01/01  18:00:00,-0.625,7.990101641899324,21.5,16.822160630273164,18.12047571531329,0.0,21.5,0.0,0.0,9713703.547870424 
 01/01  19:00:00,-1.625,7.3589131665885255,21.5,16.719658353074056,18.04608992054195,0.0,21.5,0.0,0.0,8428536.63780106 
 01/01  20:00:00,-3.25,6.713932828519878,21.5,16.60159843356472,17.960068867079595,0.0,21.5,0.0,0.0,10509151.436503088 
 01/01  21:00:00,-4.625,5.983252983239406,21.5,16.474983571313214,17.866449823557552,0.0,21.5,0.0,0.0,10961914.654677276 
 01/01  22:00:00,-5.625,5.250933526926741,21.5,16.341965310377926,17.77378525113445,0.0,21.5,0.0,0.0,10681574.135059547 
 01/01  23:00:00,-6.625,4.54646799945406,21.5,16.2024588530604,17.684753518984014,0.0,21.5,0.0,0.0,12389408.185688706 
 01/01  24:00:00,-7.0,3.843672576146583,21.5,16.063269839187946,17.597797953529454,0.0,21.5,0.0,0.0,13811363.588198408 
