Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,10649840.677420385 
 01/01  02:00:00,9822815.333803382 
 01/01  03:00:00,10139769.364166707 
 01/01  04:00:00,9853673.545133378 
 01/01  05:00:00,8379454.87812718 
 01/01  06:00:00,8029197.805520588 
 01/01  07:00:00,7388256.155322398 
 01/01  08:00:00,9151620.45110187 
 01/01  09:00:00,8159703.3967742305 
 01/01  10:00:00,7241110.334509865 
 01/01  11:00:00,6346843.119100862 
 01/01  12:00:00,6901780.029559873 
 01/01  13:00:00,6424088.397097606 
 01/01  14:00:00,6974882.85168395 
 01/01  15:00:00,7838621.541529696 
 01/01  16:00:00,7567755.125420422 
 01/01  17:00:00,7233678.201018658 
 01/01  18:00:00,9713703.547870424 
 01/01  19:00:00,8428536.63780106 
 01/01  20:00:00,10509151.436503088 
 01/01  21:00:00,10961914.654677276 
 01/01  22:00:00,10681574.135059547 
 01/01  23:00:00,12389408.185688706 
 01/01  24:00:00,13811363.588198408 
