Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,19340538.074578345 
 01/01  02:00:00,16733542.828689078 
 01/01  03:00:00,16955397.25299721 
 01/01  04:00:00,16964331.079684105 
 01/01  05:00:00,16698581.188597355 
 01/01  06:00:00,16533600.811320832 
 01/01  07:00:00,16315684.564980157 
 01/01  08:00:00,15012708.388738368 
 01/01  09:00:00,12742220.966575872 
 01/01  10:00:00,11528655.760015815 
 01/01  11:00:00,9631376.970535204 
 01/01  12:00:00,10291075.911146328 
 01/01  13:00:00,11576672.574495645 
 01/01  14:00:00,11987672.215489356 
 01/01  15:00:00,13604919.357583942 
 01/01  16:00:00,13525518.412871026 
 01/01  17:00:00,12226669.590220071 
 01/01  18:00:00,15629525.811168142 
 01/01  19:00:00,13045425.0738433 
 01/01  20:00:00,13990223.177785112 
 01/01  21:00:00,15259716.086461766 
 01/01  22:00:00,15987775.304108195 
 01/01  23:00:00,18562252.834112205 
 01/01  24:00:00,21327544.987393904 
