Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES FUR ELECTRIC ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES FUR ELECTRIC ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,13.939332710347394,21.0000002985233,23.0,19.47795708599041,1.7996513421040676,0.0,21.0,0.0,0.0,0.0,50546482.7888566 
 01/01  02:00:00,-3.0,14.117098054058701,21.0000000003868,23.0,19.57986947961378,2.1732415007397137,0.0,21.0,0.0,0.0,0.0,46342325.149034955 
 01/01  03:00:00,-3.625,13.884980670842339,21.00000000000003,23.0,19.63356434584478,2.4858493266665107,0.0,21.0,0.0,0.0,0.0,47956114.57316278 
 01/01  04:00:00,-2.75,13.684111647788637,21.0,22.999999999999996,19.63699288388913,2.9485642877980327,0.0,21.0,0.0,0.0,0.0,47233778.91196988 
 01/01  05:00:00,-2.0,13.58117663201736,16.46491476013779,23.0,18.49876319758682,0.12246129852341403,0.0,12.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-1.375,13.460843224004966,20.797447445066194,22.999999999999993,19.56819575555473,2.8912687054509236,0.0,21.0,0.0,0.0,0.0,57720586.46457343 
 01/01  07:00:00,-1.0,13.399588848522031,21.00000009974507,23.0,19.722307642466518,4.6017472376018755,0.0,21.0,0.0,0.0,0.0,48352634.941635095 
 01/01  08:00:00,-1.0,13.240894243716657,21.00000000000683,23.0,19.760896294077085,4.787434952783904,0.0,21.0,0.0,0.0,0.0,44317144.2256296 
 01/01  09:00:00,-0.375,13.212827149872158,21.000004150285157,23.000000000000007,19.80601493762604,6.320068824398645,0.0,21.0,0.0,0.0,0.0,38578264.2564378 
 01/01  10:00:00,1.25,13.334812339085213,21.00001325527686,23.00000000000001,19.942841748307966,8.039844320422988,0.0,21.0,0.0,0.0,0.0,34700229.075462654 
 01/01  11:00:00,2.0,13.531260248830742,21.00000226380338,23.000000000000007,20.029610792492466,9.463176263873137,0.0,21.0,0.0,0.0,0.0,28893802.84103876 
 01/01  12:00:00,1.375,13.437683298842842,21.000000054590284,23.000000000000014,20.1970934873299,10.695295015590126,0.0,21.0,0.0,0.0,0.0,30723848.028387874 
 01/01  13:00:00,2.25,13.27633284342215,21.000000000000004,23.00000000000001,20.221632124558987,10.642736241515493,0.0,21.0,0.0,0.0,0.0,30656105.748008166 
 01/01  14:00:00,2.375,13.242312741159925,20.999999293976582,23.000000000000014,20.223570667411582,9.777400287201644,0.0,21.0,0.0,0.0,0.0,31193933.987931497 
 01/01  15:00:00,1.375,12.959109424259713,20.999996092486064,23.000000000000014,20.157813882786904,8.41843814705684,0.0,21.0,0.0,0.0,0.0,35439834.63022341 
 01/01  16:00:00,1.0,12.776671259881079,20.99999998923833,23.00000000000001,20.047662242766656,7.550000694328915,0.0,21.0,0.0,0.0,0.0,36377272.513957605 
 01/01  17:00:00,0.375,12.634241024350466,20.999999999999865,23.000000000000014,20.001323896384292,6.704255104999827,0.0,21.0,0.0,0.0,0.0,38282619.663808696 
 01/01  18:00:00,-0.625,12.335942452314253,21.0,23.000000000000014,19.92182858628397,5.63288221976142,0.0,21.0,0.0,0.0,0.0,39822790.58655852 
 01/01  19:00:00,-1.625,12.040067703192939,21.0,23.00000000000001,19.839914477685944,4.552516020726664,0.0,21.0,0.0,0.0,0.0,39817823.676344365 
 01/01  20:00:00,-3.25,11.497836911926647,20.99998846558538,23.000000000000014,19.821453910259464,3.594389958735539,0.0,21.0,0.0,0.0,0.0,49836851.65607449 
 01/01  21:00:00,-4.625,11.006270109503323,20.999999800275052,23.000000000000014,19.704980331778692,3.0935751326831316,0.0,21.0,0.0,0.0,0.0,53758316.97369297 
 01/01  22:00:00,-5.625,10.795330035396052,20.999999999975806,23.000000000000014,19.654530616366475,2.464998602584302,0.0,21.0,0.0,0.0,0.0,53018466.26878091 
 01/01  23:00:00,-6.625,10.38217096015004,21.0,23.000000000000014,19.644991965786815,1.5975050899689869,0.0,21.0,0.0,0.0,0.0,58734091.44481735 
 01/01  24:00:00,-7.0,9.901734408761898,21.0,23.000000000000014,19.577507191727264,1.3448174892080762,0.0,21.0,0.0,0.0,0.0,64198336.90556297 
