Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:Electricity [J](Hourly) 
 01/01  01:00:00,-4.5,21.49993517171429,-4.621880177324368,21.5,0.0,32506587.275002807 
 01/01  02:00:00,-3.0,21.4979346403885,-4.22547591252657,21.5,0.0,30988352.843912713 
 01/01  03:00:00,-3.625,21.49995664382795,-3.999561748013431,21.5,0.0,33425487.135758374 
 01/01  04:00:00,-2.75,21.50014579249946,-3.784843208395804,21.5,0.0,31270756.03932161 
 01/01  05:00:00,-2.0,21.49827883990149,-3.145403937336723,21.5,0.0,30883375.771711756 
 01/01  06:00:00,-1.375,21.501373349692827,-2.379321922902733,21.5,0.0,29691851.747627977 
 01/01  07:00:00,-1.0,21.500369584591304,-1.8977041773054726,21.5,0.0,29035869.025602274 
 01/01  08:00:00,-1.0,21.498275313204843,-1.3633090714706753,21.5,0.0,28789523.907825463 
 01/01  09:00:00,-0.375,21.500532616057647,0.6173133035548835,21.5,0.0,26676860.032302864 
 01/01  10:00:00,1.25,21.49997266314541,3.22027418117686,21.5,0.0,24931191.89363908 
 01/01  11:00:00,2.0,21.500208266928222,5.535021134253858,21.5,0.0,23825094.076648097 
 01/01  12:00:00,1.375,21.500789674579465,7.722943586096171,21.5,0.0,26053097.125726867 
 01/01  13:00:00,2.25,21.50035544929473,7.887904072446733,21.5,0.0,24779133.475749563 
 01/01  14:00:00,2.375,21.498842343108265,7.386035347080444,21.5,0.0,24676017.557992052 
 01/01  15:00:00,1.375,21.500494243153106,5.7195076069169275,21.5,0.0,27394843.55568506 
 01/01  16:00:00,1.0,21.499921672461568,4.284010562533049,21.5,0.0,25551825.168556757 
 01/01  17:00:00,0.375,21.500114187993926,3.399692455856547,21.5,0.0,25609158.08232081 
 01/01  18:00:00,-0.625,21.500082908979312,2.147403762465691,21.5,0.0,27556845.5928295 
 01/01  19:00:00,-1.625,21.500539218669022,0.8413300992433195,21.5,0.0,28717028.203151055 
 01/01  20:00:00,-3.25,21.49979792849495,-0.6476548039387929,21.5,0.0,33238360.38337598 
 01/01  21:00:00,-4.625,21.498822953613296,-2.0438960616331885,21.5,0.0,34500276.70352514 
 01/01  22:00:00,-5.625,21.499994094026622,-2.944404274218008,21.5,0.0,34007367.38284838 
 01/01  23:00:00,-6.625,21.499343290823656,-4.033164247320013,21.5,0.0,37628762.443852246 
 01/01  24:00:00,-7.0,21.50027415988515,-4.959097587539569,21.5,0.0,40546309.99651796 
