Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,37833219.50255872 
 01/01  02:00:00,36399322.938930765 
 01/01  03:00:00,36233111.12034406 
 01/01  04:00:00,35375644.254466996 
 01/01  05:00:00,34598489.433431216 
 01/01  06:00:00,32411280.927889865 
 01/01  07:00:00,30132272.57335129 
 01/01  08:00:00,29857749.497894067 
 01/01  09:00:00,25415321.795104824 
 01/01  10:00:00,23336118.56727712 
 01/01  11:00:00,15077533.674471611 
 01/01  12:00:00,16156372.213222701 
 01/01  13:00:00,19480195.835225403 
 01/01  14:00:00,23855064.857850723 
 01/01  15:00:00,29898059.06102741 
 01/01  16:00:00,30776447.47084557 
 01/01  17:00:00,26737600.718800813 
 01/01  18:00:00,28262964.606565215 
 01/01  19:00:00,32063674.84207425 
 01/01  20:00:00,35189759.409935705 
 01/01  21:00:00,37511380.77126658 
 01/01  22:00:00,37763706.52656023 
 01/01  23:00:00,43688160.010158904 
 01/01  24:00:00,45954140.7868794 
 01/02  01:00:00,45954140.7868794 
 01/02  02:00:00,45954140.7868794 
 01/02  03:00:00,45954140.7868794 
 01/02  04:00:00,45954140.7868794 
 01/02  05:00:00,45954140.7868794 
 01/02  06:00:00,45954140.7868794 
 01/02  07:00:00,45954140.7868794 
 01/02  08:00:00,45954140.7868794 
 01/02  09:00:00,45954140.7868794 
 01/02  10:00:00,45954140.7868794 
 01/02  11:00:00,45954140.7868794 
 01/02  12:00:00,43551793.88853146 
 01/02  13:00:00,37145560.562560365 
 01/02  14:00:00,36596810.11352369 
 01/02  15:00:00,30983106.890190337 
 01/02  16:00:00,36102539.424836285 
 01/02  17:00:00,38901538.845630996 
 01/02  18:00:00,43053704.07984225 
 01/02  19:00:00,45954140.7868794 
 01/02  20:00:00,45954140.7868794 
 01/02  21:00:00,45954140.7868794 
 01/02  22:00:00,45954140.7868794 
 01/02  23:00:00,45954140.7868794 
 01/02  24:00:00,45954140.7868794 
