Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,5938359.99961669 
 01/01  02:00:00,14400000.0 
 01/01  03:00:00,14400000.0 
 01/01  04:00:00,14400000.0 
 01/01  05:00:00,14400000.0 
 01/01  06:00:00,14400000.0 
 01/01  07:00:00,10955659.513114583 
 01/01  08:00:00,14400000.0 
 01/01  09:00:00,14400000.0 
 01/01  10:00:00,14400000.000000002 
 01/01  11:00:00,14400000.0 
 01/01  12:00:00,2329300.312966141 
 01/01  13:00:00,3492735.4096280923 
 01/01  14:00:00,3420212.5772059476 
 01/01  15:00:00,1909487.618201631 
 01/01  16:00:00,2162529.341863171 
 01/01  17:00:00,4579991.091659804 
 01/01  18:00:00,8262782.857047095 
 01/01  19:00:00,14400000.0 
 01/01  20:00:00,14400000.0 
 01/01  21:00:00,14400000.0 
 01/01  22:00:00,14400000.0 
 01/01  23:00:00,14400000.0 
 01/01  24:00:00,14400000.0 
