Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.276806E-01,5.051278E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.894279E+02,8.125960E-02,9.135350E+02,7.860667E+02
00:20:00,1.289756E-01,5.085851E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.935442E+02,7.694544E-02,8.573989E+02,7.260515E+02
00:30:00,1.321803E-01,5.180441E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,7.976604E+02,7.272299E-02,8.023686E+02,6.671245E+02
00:40:00,1.347289E-01,5.254011E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.017766E+02,6.858741E-02,7.483856E+02,6.093724E+02
00:50:00,1.371069E-01,5.321901E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.058929E+02,6.453331E-02,6.953850E+02,5.527591E+02
01:00:00,1.393573E-01,5.385499E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.100091E+02,6.055886E-02,6.433448E+02,4.972322E+02
01:10:00,1.414789E-01,5.444799E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.127533E+02,5.703404E-02,5.980983E+02,4.489455E+02
01:20:00,1.434212E-01,5.498231E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.154974E+02,5.370944E-02,5.552659E+02,4.031969E+02
01:30:00,1.452506E-01,5.547903E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.182416E+02,5.054313E-02,5.143422E+02,3.594775E+02
01:40:00,1.469788E-01,5.594199E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.209857E+02,4.752217E-02,4.751710E+02,3.176412E+02
01:50:00,1.486212E-01,5.637619E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.237299E+02,4.463881E-02,4.376590E+02,2.775860E+02
02:00:00,1.501926E-01,5.678636E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.264741E+02,4.188705E-02,4.017338E+02,2.392245E+02
02:10:00,1.451041E-01,5.517364E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.285322E+02,3.934733E-02,3.690514E+02,2.042879E+02
02:20:00,1.452097E-01,5.525312E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.305903E+02,3.696041E-02,3.382114E+02,1.712907E+02
02:30:00,1.421777E-01,5.436274E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.326484E+02,3.469423E-02,3.088273E+02,1.398298E+02
02:40:00,1.401491E-01,5.378116E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.347065E+02,3.253719E-02,2.807593E+02,1.097609E+02
02:50:00,1.383758E-01,5.327725E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.367647E+02,3.047847E-02,2.538768E+02,8.094414E+01
03:00:00,1.367833E-01,5.282814E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.388228E+02,2.850844E-02,2.280637E+02,5.325257E+01
03:10:00,1.342890E-01,5.214026E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.408809E+02,2.767795E-02,2.159913E+02,4.036251E+01
03:20:00,1.327127E-01,5.173852E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.429390E+02,2.767795E-02,2.139332E+02,3.827601E+01
03:30:00,1.298013E-01,5.091351E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.449971E+02,2.767795E-02,2.118751E+02,3.618993E+01
03:40:00,1.274454E-01,5.025815E+03,2.767795E-02,0.000000E+00,0.000000E+00,2.767795E-02,8.470553E+02,2.767795E-02,2.098169E+02,3.410344E+01
