Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.098129E+03,9.943161E+02,1.276806E-01,8.125960E-02
00:20:00,4.131359E+03,9.415275E+02,1.289756E-01,7.694544E-02
00:30:00,4.225199E+03,8.898613E+02,1.321803E-01,7.272299E-02
00:40:00,4.298196E+03,8.392577E+02,1.347289E-01,6.858741E-02
00:50:00,4.365745E+03,7.896511E+02,1.371069E-01,6.453331E-02
01:00:00,4.429224E+03,7.410190E+02,1.393573E-01,6.055886E-02
01:10:00,4.486921E+03,6.978888E+02,1.414789E-01,5.703404E-02
01:20:00,4.539491E+03,6.572083E+02,1.434212E-01,5.370944E-02
01:30:00,4.587753E+03,6.184647E+02,1.452506E-01,5.054313E-02
01:40:00,4.633061E+03,5.814994E+02,1.469788E-01,4.752217E-02
01:50:00,4.675720E+03,5.462178E+02,1.486212E-01,4.463881E-02
02:00:00,4.716179E+03,5.125466E+02,1.501926E-01,4.188705E-02
02:10:00,4.550534E+03,4.814698E+02,1.451041E-01,3.934733E-02
02:20:00,4.559638E+03,4.522627E+02,1.452097E-01,3.696041E-02
02:30:00,4.470305E+03,4.245330E+02,1.421777E-01,3.469423E-02
02:40:00,4.412523E+03,3.981388E+02,1.401491E-01,3.253719E-02
02:50:00,4.362770E+03,3.729476E+02,1.383758E-01,3.047847E-02
03:00:00,4.318700E+03,3.488416E+02,1.367833E-01,2.850844E-02
03:10:00,4.251414E+03,3.255535E+02,1.342890E-01,2.660526E-02
03:20:00,4.213225E+03,3.028206E+02,1.327127E-01,2.474744E-02
03:30:00,4.131246E+03,2.807679E+02,1.298013E-01,2.294521E-02
03:40:00,4.067258E+03,2.593832E+02,1.274454E-01,2.119758E-02
03:50:00,4.008332E+03,2.386686E+02,1.252460E-01,1.950471E-02
