1,2,3,4,5
18.5,18.5,18.5,18.5,20
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,19,19
19,18.5,18.5,19,18.5
19,19.5,18.5,18.5,18.5
20,20.5,18.5,18.5,18.5
18.75,18.5,18.5,19,19
18.875,18.5,18.5,18.5,18.5
19.125,18.5,18.5,19.5,19.5
19.25,18.5,18.5,18.5,19
19.75,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,20
19,18.5,18.5,18.5,20
18.5,18.5,18.5,18.5,19
20.5,18.5,18.5,19,18.5
18.5,18.5,18.5,18.5,18.5
19.125,18.5,18.5,18.5,19
