1,2,3,4,5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19
18.5,21,18.5,18.5,19
18.5,22.5,18.5,18.5,19
18.5,23,18.5,18.5,18.5
18.5,23,18.5,18.5,18.5
18.5,23,18.5,18.5,18.5
18.5,22.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,18.5
19,18.5,18.5,18.5,18.5
19,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,20.5,18.5,18.5,18.5
18.5,21.5,18.5,18.5,18.5
