1,2,3,4,5
18.5,18.5,18.5,18.5,20.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,20
18.5,18,18.5,21,19
18.5,18.5,18.5,24,19
18.5,18.5,18.5,18.5,18.5
19,18.5,18.5,18.5,18.5
19.5,18.5,18.5,18.5,18.5
20,20,18.5,18.5,18.5
20.5,23.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,20
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,20
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
