1,2,3,4,5
19.5,18.5,18.5,18.5,19.5
19,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19.5
18,18.5,18.5,18.5,19.5
19,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,19.5
19,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19
19.5,18.5,18.5,19,19
18.5,22.5,18.5,19,19
18.5,23,18.5,19,19
20,18.5,18.5,18.5,19
19.25,18.5,18.5,18.5,19.75
20.25,18.5,18.5,19,19.5
18.5,18.5,18.5,19,19.5
19.25,18.5,18.5,18.5,19.5
19,18.5,18.5,18.5,19.5
18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,18.5
18.875,18.5,18.5,18.5,19
19.5,18.5,18.5,18.5,19
