1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,1-Nov,2-Nov,3-Nov,4-Nov,5-Nov,1-Dec,2-Dec,3-Dec,4-Dec,5-Dec,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar
19.5,18.5,18.5,18.5,19.5,18.5,22.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,19,18.5,18.5,18.5,21,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,20.5
19,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19.5,19,18.5,18.5,18.5,21.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,19,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19.5,18.5,20.5,18.5,18.5,19,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,21,18.5,21,18.5,18.5,19,18.5,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19.5,18.5,20.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,18.5,21,18.5,18.5,21.5,18.5,22.5,18.5,18.5,19,18.5,18.5,18.5,18.5,19
18.5,18.5,18.5,18.5,19.5,18.5,22.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,19,18.5,23,18.5,18.5,19.5,18.5,23,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20
18,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,18.5,23.5,18.5,18.5,20.5,18.5,23,18.5,18.5,18.5,18.5,18,18.5,21,19
19,18.5,18.5,18.5,19.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,21.5,18.5,23,18.5,18.5,18.5,18.5,18.5,18.5,24,19
18.5,18.5,18.5,18.5,19.5,18.5,18.5,18.5,19,19,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,20,18.5,22.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
19,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5,19.5,18.5,18.5,18.5,19,19,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,18.5
18.5,18.5,18.5,18.5,19,19,18.5,18.5,18.5,20,19,18.5,18.5,19,18.5,19,18.5,18.5,18.5,20,18.5,18.5,18.5,18.5,19,19.5,18.5,18.5,18.5,18.5
19.5,18.5,18.5,19,19,19.5,22.5,18.5,21.5,21,19,19.5,18.5,18.5,18.5,20,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,18.5,20,20,18.5,18.5,18.5
18.5,22.5,18.5,19,19,20,18.5,18.5,18.5,18.5,20,20.5,18.5,18.5,18.5,20,18.5,18.5,18.5,19,19,18.5,18.5,18.5,18.5,20.5,23.5,18.5,18.5,19.5
18.5,23,18.5,19,19,18.5,18.5,18.5,18.5,18.5,18.75,18.5,18.5,19,19,20,18.5,18.5,18.5,20.5,19,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
