Date/Time,Heating:Electricity [J](Hourly) 
 12/21  01:00:00,26390068.439722646 
 12/21  02:00:00,26390068.439722646 
 12/21  03:00:00,26390068.439722646 
 12/21  04:00:00,26390068.439722646 
 12/21  05:00:00,26390068.439722646 
 12/21  06:00:00,26390068.439722646 
 12/21  07:00:00,26390068.439722646 
 12/21  08:00:00,26390068.439722646 
 12/21  09:00:00,26390068.439722646 
 12/21  10:00:00,26390068.439722646 
 12/21  11:00:00,26390068.439722646 
 12/21  12:00:00,26390068.439722646 
 12/21  13:00:00,26390068.439722646 
 12/21  14:00:00,26390068.439722646 
 12/21  15:00:00,26390068.439722646 
 12/21  16:00:00,26390068.439722646 
 12/21  17:00:00,26390068.439722646 
 12/21  18:00:00,26390068.439722646 
 12/21  19:00:00,26390068.439722646 
 12/21  20:00:00,26390068.439722646 
 12/21  21:00:00,26390068.439722646 
 12/21  22:00:00,26390068.439722646 
 12/21  23:00:00,26390068.439722646 
 12/21  24:00:00,26390068.439722646 
 07/21  01:00:00,0.0 
 07/21  02:00:00,0.0 
 07/21  03:00:00,0.0 
 07/21  04:00:00,0.0 
 07/21  05:00:00,0.0 
 07/21  06:00:00,0.0 
 07/21  07:00:00,0.0 
 07/21  08:00:00,0.0 
 07/21  09:00:00,0.0 
 07/21  10:00:00,0.0 
 07/21  11:00:00,0.0 
 07/21  12:00:00,0.0 
 07/21  13:00:00,0.0 
 07/21  14:00:00,0.0 
 07/21  15:00:00,0.0 
 07/21  16:00:00,0.0 
 07/21  17:00:00,0.0 
 07/21  18:00:00,0.0 
 07/21  19:00:00,0.0 
 07/21  20:00:00,0.0 
 07/21  21:00:00,0.0 
 07/21  22:00:00,0.0 
 07/21  23:00:00,0.0 
 07/21  24:00:00,0.0 
 01/01  01:00:00,7263140.540903904 
 01/01  02:00:00,7040446.209415637 
 01/01  03:00:00,8188347.705124924 
 01/01  04:00:00,7813560.382875619 
 01/01  05:00:00,8521725.293437082 
 01/01  06:00:00,7842591.761519665 
 01/01  07:00:00,10105327.486133017 
 01/01  08:00:00,9612453.42849391 
 01/01  09:00:00,6071978.676454449 
 01/01  10:00:00,4962413.435641376 
 01/01  11:00:00,4907409.75663181 
 01/01  12:00:00,5212293.771226794 
 01/01  13:00:00,3599441.0947694834 
 01/01  14:00:00,3891797.410796523 
 01/01  15:00:00,6137617.73835535 
 01/01  16:00:00,5176148.955223305 
 01/01  17:00:00,4953851.147709163 
 01/01  18:00:00,6304581.376568473 
 01/01  19:00:00,11964995.845244026 
 01/01  20:00:00,11993191.111287182 
 01/01  21:00:00,10832539.590553416 
 01/01  22:00:00,13500911.112278957 
 01/01  23:00:00,16335312.729033379 
 01/01  24:00:00,15848192.09128682 
 01/02  01:00:00,9966583.01573968 
 01/02  02:00:00,12320547.891169783 
 01/02  03:00:00,13723588.642699424 
 01/02  04:00:00,15547897.397602951 
 01/02  05:00:00,17593693.28213074 
 01/02  06:00:00,20874949.589898318 
 01/02  07:00:00,23927352.384485234 
 01/02  08:00:00,22209616.77861333 
 01/02  09:00:00,15574366.214278808 
 01/02  10:00:00,14161673.008238677 
 01/02  11:00:00,12650645.8536723 
 01/02  12:00:00,7510615.447054388 
 01/02  13:00:00,5824496.863476653 
 01/02  14:00:00,5671706.316403847 
 01/02  15:00:00,7403797.26677379 
 01/02  16:00:00,10742431.766428005 
 01/02  17:00:00,9927810.232456023 
 01/02  18:00:00,10718384.388012867 
 01/02  19:00:00,19318725.32143528 
 01/02  20:00:00,20744640.66332043 
 01/02  21:00:00,16462947.746753808 
 01/02  22:00:00,15841586.653506923 
 01/02  23:00:00,20252194.97118125 
 01/02  24:00:00,20668305.793691594 
 01/03  01:00:00,15921037.405473994 
 01/03  02:00:00,18313705.387518756 
 01/03  03:00:00,20183992.181591626 
 01/03  04:00:00,21754475.89581284 
 01/03  05:00:00,21788505.994562313 
 01/03  06:00:00,21285144.24824038 
 01/03  07:00:00,22488064.193182617 
 01/03  08:00:00,23857018.114708908 
 01/03  09:00:00,16201328.011241967 
 01/03  10:00:00,10907994.972190203 
 01/03  11:00:00,9241274.912383359 
 01/03  12:00:00,9618294.74906867 
 01/03  13:00:00,5790200.871981924 
 01/03  14:00:00,3803322.5137257595 
 01/03  15:00:00,3151003.1367605836 
 01/03  16:00:00,3983049.772347335 
