Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:30:00,1.708224E-01,5.956139E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.875769E+02,1.064313E-01,1.200931E+03,1.083705E+03
01:00:00,1.571639E-01,5.631699E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.997695E+02,9.232534E-02,1.020225E+03,8.924443E+02
01:30:00,1.662548E-01,5.913692E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.078979E+02,8.044229E-02,8.701390E+02,7.338159E+02
02:00:00,1.691022E-01,5.996943E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.160264E+02,6.989501E-02,7.360095E+02,5.923868E+02
02:30:00,1.752866E-01,6.177253E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.221227E+02,6.068152E-02,6.198453E+02,4.699718E+02
03:00:00,1.784955E-01,6.270826E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.282190E+02,5.245542E-02,5.154758E+02,3.599106E+02
03:30:00,1.806913E-01,6.334834E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.343153E+02,4.495316E-02,4.197538E+02,2.590325E+02
04:00:00,1.822781E-01,6.381077E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,3.806911E-02,3.314178E+02,1.658200E+02
04:30:00,1.831630E-01,6.406862E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,3.248633E-02,2.606593E+02,9.098145E+01
05:00:00,1.836385E-01,6.420713E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.485400E+02,2.954888E-02,2.215030E+02,4.959276E+01
05:30:00,1.833313E-01,6.411750E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.444758E+02,4.077906E-02,3.597285E+02,1.971937E+02
06:00:00,1.826153E-01,6.390875E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.404116E+02,6.887775E-02,6.994706E+02,5.601503E+02
06:30:00,1.818420E-01,6.368327E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.261869E+02,1.018745E-01,1.107885E+03,9.925551E+02
07:00:00,1.809365E-01,6.341927E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,8.119621E+02,1.340598E-01,1.506609E+03,1.409575E+03
07:30:00,1.808073E-01,6.338151E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.774164E+02,1.625715E-01,1.881772E+03,1.797910E+03
08:00:00,1.807517E-01,6.336523E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.428707E+02,1.875016E-01,2.214151E+03,2.141112E+03
08:30:00,1.832929E-01,6.410588E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.042607E+02,2.039660E-01,2.449458E+03,2.365410E+03
09:00:00,1.863184E-01,6.498786E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.656508E+02,2.177904E-01,2.653230E+03,2.549653E+03
09:30:00,1.878797E-01,6.544319E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.311050E+02,2.320829E-01,2.858530E+03,2.741346E+03
10:00:00,1.894455E-01,6.589988E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.965593E+02,2.424260E-01,3.016646E+03,2.895202E+03
10:30:00,1.898753E-01,6.602547E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.660778E+02,2.508613E-01,3.147904E+03,3.021073E+03
11:00:00,1.901496E-01,6.610560E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.355962E+02,2.552819E-01,3.231199E+03,3.104305E+03
11:30:00,1.903505E-01,6.616427E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.152752E+02,2.562543E-01,3.263138E+03,3.137385E+03
12:00:00,1.904899E-01,6.620496E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.949542E+02,2.564924E-01,3.286302E+03,3.161997E+03
12:30:00,1.906272E-01,6.624498E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.786974E+02,2.613072E-01,3.360079E+03,3.238255E+03
13:00:00,1.907564E-01,6.628261E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.624406E+02,2.737433E-01,3.524903E+03,3.408261E+03
13:30:00,1.908230E-01,6.630202E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.522801E+02,2.918043E-01,3.750829E+03,3.638704E+03
14:00:00,1.908718E-01,6.631622E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.421195E+02,3.120242E-01,4.002547E+03,3.894011E+03
14:30:00,1.908409E-01,6.630721E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.421195E+02,3.316230E-01,4.236685E+03,4.131411E+03
15:00:00,1.908014E-01,6.629569E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.421195E+02,3.485375E-01,4.438754E+03,4.336451E+03
15:30:00,1.904333E-01,6.618842E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.543122E+02,3.618440E-01,4.585533E+03,4.486807E+03
16:00:00,1.899015E-01,6.603343E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.665048E+02,3.705688E-01,4.677573E+03,4.581929E+03
16:30:00,1.882439E-01,6.555024E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.827616E+02,3.780990E-01,4.751275E+03,4.666202E+03
17:00:00,1.861457E-01,6.493853E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,4.990184E+02,3.832000E-01,4.795949E+03,4.724007E+03
17:30:00,1.828367E-01,6.397382E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.193394E+02,3.864404E-01,4.814325E+03,4.769322E+03
18:00:00,1.792402E-01,6.292523E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.396604E+02,3.818432E-01,4.739063E+03,4.722884E+03
18:30:00,2.005379E-01,6.858130E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,5.701420E+02,3.657273E-01,4.516037E+03,4.513262E+03
19:00:00,2.132347E-01,7.130575E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.006235E+02,3.341971E-01,4.108877E+03,4.113603E+03
19:30:00,2.043459E-01,6.846120E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.229766E+02,2.901849E-01,3.560730E+03,3.544383E+03
20:00:00,2.006209E-01,6.741384E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.453298E+02,2.563062E-01,3.133646E+03,3.100339E+03
20:30:00,1.942876E-01,6.563141E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.636187E+02,2.349786E-01,2.860566E+03,2.815669E+03
21:00:00,1.909655E-01,6.469631E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,6.819076E+02,2.185978E-01,2.646580E+03,2.592635E+03
21:30:00,1.891203E-01,6.417716E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.001965E+02,2.031850E-01,2.444160E+03,2.384399E+03
22:00:00,1.882445E-01,6.393095E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.184854E+02,1.881147E-01,2.245835E+03,2.181973E+03
22:30:00,1.890940E-01,6.417022E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.327102E+02,1.709889E-01,2.027018E+03,1.953161E+03
23:00:00,1.906648E-01,6.461242E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.469349E+02,1.537371E-01,1.806696E+03,1.721379E+03
23:30:00,1.924118E-01,6.510420E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.611596E+02,1.372489E-01,1.595499E+03,1.500041E+03
24:00:00,1.943671E-01,6.565462E+03,2.732807E-02,0.000000E+00,0.000000E+00,2.732807E-02,7.753843E+02,1.212223E-01,1.389819E+03,1.283143E+03
Coinc Peak   ,2.132347E-01,3.864404E-01,7.130575E+03,4.814325E+03
NonCoinc Peak,2.132347E-01,3.864404E-01,7.130575E+03,4.814325E+03
