Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:30:00,4.940206E+03,1.290260E+03,1.708224E-01,1.064313E-01
01:00:00,4.635335E+03,1.119258E+03,1.571639E-01,9.232534E-02
01:30:00,4.917214E+03,9.752023E+02,1.662548E-01,8.044229E-02
02:00:00,5.001751E+03,8.473395E+02,1.691022E-01,6.989501E-02
02:30:00,5.184735E+03,7.356452E+02,1.752866E-01,6.068152E-02
03:00:00,5.279698E+03,6.359190E+02,1.784955E-01,5.245542E-02
03:30:00,5.344653E+03,5.449682E+02,1.806913E-01,4.495316E-02
04:00:00,5.391577E+03,4.615135E+02,1.822781E-01,3.806911E-02
04:30:00,5.417742E+03,3.938339E+02,1.831630E-01,3.248633E-02
05:00:00,5.431797E+03,3.582235E+02,1.836385E-01,2.954888E-02
05:30:00,5.422700E+03,4.943679E+02,1.833313E-01,4.077906E-02
06:00:00,5.401515E+03,8.350044E+02,1.826153E-01,6.887775E-02
06:30:00,5.378633E+03,1.235020E+03,1.818420E-01,1.018745E-01
07:00:00,5.351841E+03,1.625204E+03,1.809365E-01,1.340598E-01
07:30:00,5.348008E+03,1.970858E+03,1.808073E-01,1.625715E-01
08:00:00,5.346354E+03,2.273093E+03,1.807517E-01,1.875016E-01
08:30:00,5.421513E+03,2.472698E+03,1.832929E-01,2.039660E-01
09:00:00,5.511016E+03,2.640303E+03,1.863184E-01,2.177904E-01
09:30:00,5.557227E+03,2.813583E+03,1.878797E-01,2.320829E-01
10:00:00,5.603576E+03,2.938981E+03,1.894455E-01,2.424260E-01
10:30:00,5.616326E+03,3.041246E+03,1.898753E-01,2.508613E-01
11:00:00,5.624461E+03,3.094841E+03,1.901496E-01,2.552819E-01
11:30:00,5.630416E+03,3.106631E+03,1.903505E-01,2.562543E-01
12:00:00,5.634547E+03,3.109516E+03,1.904899E-01,2.564924E-01
12:30:00,5.638608E+03,3.167886E+03,1.906272E-01,2.613072E-01
13:00:00,5.642426E+03,3.318649E+03,1.907564E-01,2.737433E-01
13:30:00,5.644395E+03,3.537604E+03,1.908230E-01,2.918043E-01
14:00:00,5.645835E+03,3.782731E+03,1.908718E-01,3.120242E-01
14:30:00,5.644922E+03,4.020330E+03,1.908409E-01,3.316230E-01
15:00:00,5.643753E+03,4.225386E+03,1.908014E-01,3.485375E-01
15:30:00,5.632868E+03,4.386707E+03,1.904333E-01,3.618440E-01
16:00:00,5.617139E+03,4.492480E+03,1.899015E-01,3.705688E-01
16:30:00,5.568105E+03,4.583769E+03,1.882439E-01,3.780990E-01
17:00:00,5.506028E+03,4.645600E+03,1.861457E-01,3.832000E-01
17:30:00,5.408128E+03,4.684868E+03,1.828367E-01,3.864404E-01
18:00:00,5.301714E+03,4.629114E+03,1.792402E-01,3.818432E-01
18:30:00,5.864952E+03,4.433722E+03,2.005379E-01,3.657273E-01
19:00:00,6.136400E+03,4.051475E+03,2.132347E-01,3.341971E-01
19:30:00,5.835579E+03,3.517909E+03,2.043459E-01,2.901849E-01
20:00:00,5.729310E+03,3.107195E+03,2.006209E-01,2.563062E-01
20:30:00,5.548430E+03,2.848637E+03,1.942876E-01,2.349786E-01
21:00:00,5.453535E+03,2.650047E+03,1.909655E-01,2.185978E-01
21:30:00,5.400855E+03,2.463193E+03,1.891203E-01,2.031850E-01
22:00:00,5.375873E+03,2.280495E+03,1.882445E-01,1.881147E-01
22:30:00,5.400158E+03,2.072879E+03,1.890940E-01,1.709889E-01
23:00:00,5.445034E+03,1.863734E+03,1.906648E-01,1.537371E-01
23:30:00,5.494941E+03,1.663852E+03,1.924118E-01,1.372489E-01
24:00:00,5.550799E+03,1.469566E+03,1.943671E-01,1.212223E-01
Peak,6.136400E+03,4.684868E+03,2.132347E-01,3.864404E-01

Peak Vol Flow (m3/s),,,2.209500E-01,4.004226E-01
